case_id,activity_name,resource,start_timestamp,end_timestamp
Case56,Turning,ID4219,2012-03-06 14:40:00+00:00,2012-03-06 16:09:00+00:00
Case103,Turning & Milling,ID4219,2012-03-06 16:10:00+00:00,2012-03-06 17:18:00+00:00
Case129,Turning & Milling,ID4219,2012-03-06 17:18:00+00:00,2012-03-07 01:21:00+00:00
Case129,Turning & Milling Q.C.,ID4287,2012-03-06 22:50:00+00:00,2012-03-07 00:50:00+00:00
Case205,Round Grinding,ID4872,2012-03-07 01:00:00+00:00,2012-03-07 02:40:00+00:00
Case205,Round Grinding,ID4872,2012-03-07 02:40:00+00:00,2012-03-07 03:30:00+00:00
Case80,Turning & Milling,ID4529,2012-03-07 03:21:00+00:00,2012-03-07 06:51:00+00:00
Case80,Turning & Milling,ID4529,2012-03-07 06:51:00+00:00,2012-03-07 13:52:00+00:00
Case82,Turning & Milling,ID4429,2012-03-07 16:11:00+00:00,2012-03-08 00:05:00+00:00
Case80,Turning & Milling Q.C.,ID4287,2012-03-07 20:20:00+00:00,2012-03-07 22:38:00+00:00
Case205,Final Inspection Q.C.,ID4618,2012-03-07 21:30:00+00:00,2012-03-07 22:17:00+00:00
Case129,Turning & Milling,ID4219,2012-03-07 21:42:00+00:00,2012-03-08 01:59:00+00:00
Case80,Laser Marking,ID0998,2012-03-07 22:50:00+00:00,2012-03-07 23:11:00+00:00
Case82,Turning & Milling,ID4429,2012-03-08 00:05:00+00:00,2012-03-08 00:22:00+00:00
Case82,Turning & Milling,ID4529,2012-03-08 03:18:00+00:00,2012-03-08 04:05:00+00:00
Case129,Turning & Milling,ID0997,2012-03-08 03:19:00+00:00,2012-03-08 05:06:00+00:00
Case82,Turning & Milling,ID4529,2012-03-08 04:05:00+00:00,2012-03-08 12:30:00+00:00
Case56,Turning,ID0997,2012-03-08 05:06:00+00:00,2012-03-08 09:08:00+00:00
Case130,Turning & Milling,ID4529,2012-03-08 06:45:00+00:00,2012-03-08 08:08:00+00:00
Case56,Packing,ID4820,2012-03-08 07:00:00+00:00,2012-03-08 08:00:00+00:00
Case205,Packing,ID4820,2012-03-08 07:00:00+00:00,2012-03-08 08:00:00+00:00
Case56,Turning,ID0997,2012-03-08 09:08:00+00:00,2012-03-08 11:18:00+00:00
Case103,Turning & Milling,ID0997,2012-03-08 11:19:00+00:00,2012-03-08 13:51:00+00:00
Case112,Turning & Milling,ID4641,2012-03-08 13:13:00+00:00,2012-03-08 13:51:00+00:00
Case129,Turning & Milling Q.C.,ID4287,2012-03-08 14:00:00+00:00,2012-03-08 15:40:00+00:00
Case56,Turning Q.C.,ID4618,2012-03-08 14:12:00+00:00,2012-03-08 14:46:00+00:00
Case103,Turning & Milling,ID4219,2012-03-08 17:04:00+00:00,2012-03-08 23:38:00+00:00
Case56,Lapping,ID0998,2012-03-08 17:12:00+00:00,2012-03-08 18:25:00+00:00
Case56,Laser Marking,ID0998,2012-03-08 18:26:00+00:00,2012-03-08 18:44:00+00:00
Case56,Final Inspection Q.C.,ID4618,2012-03-08 18:30:00+00:00,2012-03-08 19:19:00+00:00
Case103,Turning & Milling,ID0997,2012-03-09 03:24:00+00:00,2012-03-09 11:35:00+00:00
Case103,Turning & Milling,ID0997,2012-03-09 11:35:00+00:00,2012-03-09 14:27:00+00:00
Case82,Turning & Milling Q.C.,ID4287,2012-03-09 14:00:00+00:00,2012-03-09 17:52:00+00:00
Case103,Turning & Milling,ID4219,2012-03-09 14:32:00+00:00,2012-03-09 17:27:00+00:00
Case103,Turning & Milling Q.C.,ID4618,2012-03-09 14:32:00+00:00,2012-03-09 17:38:00+00:00
Case129,Lapping,ID0998,2012-03-09 17:44:00+00:00,2012-03-09 18:59:00+00:00
Case97,Turning & Milling Q.C.,ID4287,2012-03-09 18:30:00+00:00,2012-03-09 19:45:00+00:00
Case129,Lapping,ID4287,2012-03-09 19:00:00+00:00,2012-03-09 19:15:00+00:00
Case103,Turning & Milling Q.C.,ID4618,2012-03-11 14:42:00+00:00,2012-03-11 15:16:00+00:00
Case82,Laser Marking,ID0998,2012-03-11 15:37:00+00:00,2012-03-11 16:37:00+00:00
Case103,Turning & Milling,ID0997,2012-03-11 16:03:00+00:00,2012-03-11 17:37:00+00:00
Case103,Turning & Milling,ID0997,2012-03-11 17:37:00+00:00,2012-03-11 18:48:00+00:00
Case7,Turning & Milling,ID4167,2012-03-11 18:48:00+00:00,2012-03-12 02:35:00+00:00
Case103,Turning & Milling,ID0997,2012-03-11 18:49:00+00:00,2012-03-11 23:09:00+00:00
Case97,Laser Marking,ID4445,2012-03-11 21:56:00+00:00,2012-03-11 22:53:00+00:00
Case97,Laser Marking,ID4882,2012-03-11 23:02:00+00:00,2012-03-11 23:48:00+00:00
Case103,Turning & Milling,ID4219,2012-03-11 23:35:00+00:00,2012-03-12 01:35:00+00:00
Case147,Turning,ID4219,2012-03-12 01:36:00+00:00,2012-03-12 06:12:00+00:00
Case7,Setup,ID4932,2012-03-12 02:37:00+00:00,2012-03-12 04:30:00+00:00
Case42,Turning & Milling,ID4794,2012-03-12 03:25:00+00:00,2012-03-12 06:29:00+00:00
Case42,Turning & Milling,ID4794,2012-03-12 06:29:00+00:00,2012-03-12 14:00:00+00:00
Case97,Lapping,ID4882,2012-03-12 07:00:00+00:00,2012-03-12 08:15:00+00:00
Case97,Lapping,ID4882,2012-03-12 07:00:00+00:00,2012-03-12 08:15:00+00:00
Case147,Turning,ID0997,2012-03-12 14:00:00+00:00,2012-03-12 18:00:00+00:00
Case42,Turning & Milling Q.C.,ID4618,2012-03-12 14:14:00+00:00,2012-03-12 14:57:00+00:00
Case7,Turning & Milling,ID4167,2012-03-12 14:53:00+00:00,2012-03-12 23:02:00+00:00
