case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,12,SRM: Created,2018-10-16 08:10:00+00:00,2018-10-16 08:15:03.304122689+00:00,0,user_026
0,14,SRM: Created,2018-10-16 08:15:03.304122689+00:00,2018-10-16 08:24:13.390539330+00:00,1,user_016
0,22,SRM: Created,2018-10-16 08:24:13.390539330+00:00,2018-10-16 08:36:29.596615286+00:00,2,user_010
1,23,SRM: Created,2018-10-16 08:27:02.820942014+00:00,2018-10-16 08:28:44.597355334+00:00,3,user_014
0,8,SRM: Created,2018-10-16 08:36:29.596615286+00:00,2018-10-16 08:37:25.404399109+00:00,4,user_022
1,1,SRM: Created,2018-10-16 08:28:44.597355334+00:00,2018-10-16 08:39:54.930801368+00:00,5,batch_00
0,12,SRM: Created,2018-10-16 08:37:25.404399109+00:00,2018-10-16 08:44:02.692921300+00:00,6,user_026
1,14,SRM: Created,2018-10-16 08:39:54.930801368+00:00,2018-10-16 08:53:18.061301898+00:00,7,user_016
0,23,SRM: Created,2018-10-16 08:44:02.692921300+00:00,2018-10-16 08:59:03.142413176+00:00,8,user_014
1,22,SRM: Created,2018-10-16 08:53:18.061301898+00:00,2018-10-16 09:18:01.943843054+00:00,9,user_010
0,8,SRM: Created,2018-10-16 08:59:03.142413176+00:00,2018-10-16 09:00:04.805530997+00:00,10,user_022
0,1,SRM: Created,2018-10-16 09:00:04.805530997+00:00,2018-10-16 09:07:16.246396142+00:00,11,batch_00
1,12,SRM: Created,2018-10-16 09:18:01.943843054+00:00,2018-10-16 09:25:54.460176928+00:00,12,user_026
0,1,SRM: Change was Transmitted,2018-10-16 09:07:16.246396142+00:00,2018-10-16 09:14:03.682374828+00:00,13,batch_00
1,24,SRM: Awaiting Approval,2018-10-16 09:25:54.460176928+00:00,2018-10-16 09:30:54.460176928+00:00,14,user_009
0,1,SRM: Ordered,2018-10-16 09:14:03.682374828+00:00,2018-10-16 09:14:19.472336908+00:00,15,batch_00
1,8,SRM: In Transfer to Execution Syst.,2018-10-16 09:30:54.460176928+00:00,2018-10-16 09:42:54.460176928+00:00,16,user_022
0,1,SRM: Change was Transmitted,2018-10-16 09:14:19.472336908+00:00,2018-10-16 09:16:48.988854866+00:00,17,batch_00
1,1,SRM: In Transfer to Execution Syst.,2018-10-16 09:42:54.460176928+00:00,2018-10-16 09:44:13.772047455+00:00,18,batch_00
0,14,SRM: Document Completed,2018-10-16 09:16:48.988854866+00:00,2018-10-16 09:23:10.659334061+00:00,19,user_016
1,1,SRM: Ordered,2018-10-16 09:44:13.772047455+00:00,2018-10-16 09:45:19.625453830+00:00,20,batch_00
0,1,SRM: Ordered,2018-10-16 09:23:10.659334061+00:00,2018-10-16 09:20:29.733138504+00:00,21,batch_00
1,23,SRM: Complete,2018-10-16 09:45:19.625453830+00:00,2018-10-16 09:46:42.567025143+00:00,22,user_014
0,2,Create Purchase Order Item,2018-10-16 09:20:29.733138504+00:00,2018-10-16 09:25:59.312701003+00:00,23,user_000
1,1,SRM: Change was Transmitted,2018-10-16 09:46:42.567025143+00:00,2018-10-16 09:57:32.558680943+00:00,24,batch_00
0,22,SRM: Complete,2018-10-16 09:25:59.312701003+00:00,2018-10-16 09:30:50.854183579+00:00,25,user_010
1,1,SRM: Change was Transmitted,2018-10-16 09:57:32.558680943+00:00,2018-10-16 10:03:21.752384428+00:00,26,batch_00
0,14,SRM: Awaiting Approval,2018-10-16 09:30:50.854183579+00:00,2018-10-16 09:31:09.967925816+00:00,27,user_016
1,12,SRM: Document Completed,2018-10-16 10:03:21.752384428+00:00,2018-10-16 10:13:35.297606589+00:00,28,user_026
0,1,SRM: Change was Transmitted,2018-10-16 09:31:09.967925816+00:00,2018-10-16 09:42:21.770920334+00:00,29,batch_00
1,22,SRM: Awaiting Approval,2018-10-16 10:13:35.297606589+00:00,2018-10-16 10:20:35.872653216+00:00,30,user_010
1,1,SRM: Change was Transmitted,2018-10-16 10:20:35.872653216+00:00,2018-10-16 10:15:46.330736167+00:00,32,batch_00
