User,resource,activity_name,Cumulative net worth (EUR),case:Spend area text,case:Company,case:Document Type,case:Sub spend area text,case:Purchasing Document,case:Purch. Doc. Category name,case:Vendor,case:Item Type,case:Item Category,case:Spend classification text,case:Source,case:Name,case:GR-Based Inv. Verif.,case:Item,case_id,case:Goods Receipt,start_timestamp,end_timestamp,agent
batch_00,batch_00,SRM: Created,298.0,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,1,2000000000,True,2018-01-02 12:53:00+00:00,2018-01-02 13:00:00+00:00,1
batch_00,batch_00,SRM: Document Completed,298.0,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,1,2000000000,True,2018-01-02 13:53:00+00:00,2018-01-02 14:08:00+00:00,1
batch_00,batch_00,SRM: Change was Transmitted,298.0,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,1,2000000000,True,2018-01-02 13:53:00+00:00,2018-01-02 14:06:00+00:00,1
batch_00,batch_00,SRM: Awaiting Approval,298.0,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,1,2000000000,True,2018-01-02 13:53:00+00:00,2018-01-02 14:06:00+00:00,1
batch_00,batch_00,SRM: Complete,298.0,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,1,2000000000,True,2018-01-02 13:53:00+00:00,2018-01-02 13:57:00+00:00,1
user_000,user_000,Create Purchase Order Item,298.0,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,1,2000000000,True,2018-01-02 13:53:00+00:00,2018-01-02 13:58:00+00:00,2
batch_00,batch_00,SRM: Ordered,298.0,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,1,2000000000,True,2018-01-02 13:53:00+00:00,2018-01-02 14:01:00+00:00,1
batch_00,batch_00,SRM: In Transfer to Execution Syst.,298.0,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,1,2000000000,True,2018-01-02 13:53:00+00:00,2018-01-02 14:04:00+00:00,1
NONE,NONE,Vendor creates invoice,298.0,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,1,2000000000,True,2018-01-02 22:59:00+00:00,2018-01-02 23:06:00+00:00,0
user_000,user_000,Record Goods Receipt,298.0,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,1,2000000000,True,2018-03-06 06:44:00+00:00,2018-03-06 06:54:00+00:00,2
user_001,user_001,Record Invoice Receipt,298.0,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,1,2000000000,True,2018-03-06 07:53:00+00:00,2018-03-06 07:56:00+00:00,11
user_002,user_002,Clear Invoice,298.0,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000000,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,1,2000000000,True,2018-03-29 13:06:00+00:00,2018-03-29 13:13:00+00:00,13
batch_00,batch_00,SRM: Created,44.0,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,3,2000000003,True,2018-01-08 06:21:00+00:00,2018-01-08 06:30:00+00:00,1
batch_00,batch_00,SRM: Created,37.0,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,2,2000000003,True,2018-01-08 06:21:00+00:00,2018-01-08 06:33:00+00:00,1
batch_00,batch_00,SRM: Created,28.0,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,1,2000000003,True,2018-01-08 06:21:00+00:00,2018-01-08 06:32:00+00:00,1
