case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,0,Check application form completeness,2023-04-20 08:00:00+00:00,2023-04-20 08:10:30.959055413+00:00,0,Clerk-000001
0,8,Check credit history,2023-04-20 08:10:30.959055413+00:00,2023-04-20 08:21:58.937372613+00:00,1,Clerk-000005
0,6,Appraise property,2023-04-20 08:21:58.937372613+00:00,2023-04-20 08:56:34.775274793+00:00,2,Appraiser-000002
1,1,Check application form completeness,2023-04-20 08:30:00+00:00,2023-04-20 08:35:24.230546712+00:00,3,Clerk-000002
0,2,AML check,2023-04-20 08:56:34.775274793+00:00,2023-04-20 09:11:18.236529146+00:00,4,AML Investigator-000001
1,6,Appraise property,2023-04-20 08:56:34.775274793+00:00,2023-04-20 09:04:51.681130348+00:00,5,Appraiser-000002
2,4,Check application form completeness,2023-04-20 09:00:00+00:00,2023-04-20 10:17:05.853242914+00:00,6,Clerk-000003
0,16,Assess loan risk,2023-04-20 09:11:18.236529146+00:00,2023-04-20 09:31:18.236529146+00:00,7,Loan Officer-000004
1,2,AML check,2023-04-20 09:11:18.236529146+00:00,2023-04-20 09:16:20.753970495+00:00,8,AML Investigator-000001
3,5,Check application form completeness,2023-04-20 09:30:00+00:00,2023-04-20 09:50:04.740595351+00:00,9,Clerk-000004
0,0,Reject application,2023-04-20 09:31:18.236529146+00:00,2023-04-20 09:41:18.236529146+00:00,10,Clerk-000001
2,9,Return application back to applicant,2023-04-20 10:17:05.853242914+00:00,2023-04-20 10:22:05.853242914+00:00,11,Clerk-000006
1,12,Check credit history,2023-04-20 09:16:20.753970495+00:00,2023-04-20 09:22:35.074682187+00:00,12,Clerk-000008
4,10,Check application form completeness,2023-04-20 10:00:00+00:00,2023-04-20 10:53:37.440905428+00:00,13,Clerk-000007
2,18,Applicant completes form,2023-04-20 10:22:05.853242914+00:00,2023-04-20 11:22:05.853242914+00:00,14,Applicant-000001
1,13,Assess loan risk,2023-04-20 09:22:35.074682187+00:00,2023-04-20 09:42:35.074682187+00:00,15,Loan Officer-000002
