case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,0,Check application form completeness,2023-04-20 08:00:00+00:00,2023-04-20 08:45:43.147026444+00:00,0,Clerk-000001
1,1,Check application form completeness,2023-04-20 08:30:00+00:00,2023-04-20 08:39:23.451219160+00:00,1,Clerk-000002
0,2,AML check,2023-04-20 08:45:43.147026444+00:00,2023-04-20 11:20:16.332665634+00:00,2,AML Investigator-000001
1,3,Appraise property,2023-04-20 08:39:23.451219160+00:00,2023-04-20 08:42:51.003991513+00:00,3,Appraiser-000001
2,4,Check application form completeness,2023-04-20 09:00:00+00:00,2023-04-20 09:02:24.430008869+00:00,4,Clerk-000003
0,5,Check credit history,2023-04-20 11:20:16.332665634+00:00,2023-04-20 13:11:07.478891368+00:00,5,Clerk-000004
1,8,Check credit history,2023-04-20 08:42:51.003991513+00:00,2023-04-20 08:44:41.290935900+00:00,6,Clerk-000005
2,9,Check credit history,2023-04-20 09:02:24.430008869+00:00,2023-04-20 10:45:54.467402936+00:00,7,Clerk-000006
3,10,Check application form completeness,2023-04-20 09:30:00+00:00,2023-04-20 09:53:58.144818870+00:00,8,Clerk-000007
0,6,Appraise property,2023-04-20 13:11:07.478891368+00:00,2023-04-20 13:20:19.109605191+00:00,9,Appraiser-000002
1,7,AML check,2023-04-20 08:44:41.290935900+00:00,2023-04-20 09:16:46.970798291+00:00,10,AML Investigator-000002
3,12,Check credit history,2023-04-20 09:53:58.144818870+00:00,2023-04-20 10:09:08.841984890+00:00,11,Clerk-000008
4,1,Check application form completeness,2023-04-20 10:00:00+00:00,2023-04-20 10:02:55.037469332+00:00,12,Clerk-000002
2,7,AML check,2023-04-20 10:45:54.467402936+00:00,2023-04-20 10:55:04.701567632+00:00,13,AML Investigator-000002
0,11,Assess loan risk,2023-04-20 13:20:19.109605191+00:00,2023-04-20 13:40:19.109605191+00:00,14,Loan Officer-000001
1,13,Assess loan risk,2023-04-20 09:16:46.970798291+00:00,2023-04-20 09:36:46.970798291+00:00,15,Loan Officer-000002
4,3,Appraise property,2023-04-20 10:02:55.037469332+00:00,2023-04-20 10:21:06.957659007+00:00,16,Appraiser-000001
5,8,Check application form completeness,2023-04-20 10:30:00+00:00,2023-04-20 11:18:09.456333154+00:00,18,Clerk-000005
2,3,Appraise property,2023-04-20 10:55:04.701567632+00:00,2023-04-20 11:43:23.896645770+00:00,19,Appraiser-000001
0,15,Design loan offer,2023-04-20 13:40:19.109605191+00:00,2023-04-20 13:47:58.547027152+00:00,20,Loan Officer-000003
1,16,Design loan offer,2023-04-20 09:36:46.970798291+00:00,2023-04-20 09:42:58.198402426+00:00,21,Loan Officer-000004
4,7,AML check,2023-04-20 10:21:06.957659007+00:00,2023-04-20 10:31:51.014640872+00:00,22,AML Investigator-000002
6,0,Check application form completeness,2023-04-20 11:00:00+00:00,2023-04-20 11:07:24.079132997+00:00,23,Clerk-000001
5,7,AML check,2023-04-20 11:18:09.456333154+00:00,2023-04-20 11:31:24.256810465+00:00,24,AML Investigator-000002
3,2,AML check,2023-04-20 11:20:16.332665634+00:00,2023-04-20 12:41:06.865216108+00:00,25,AML Investigator-000001
2,13,Assess loan risk,2023-04-20 11:43:23.896645770+00:00,2023-04-20 12:03:23.896645770+00:00,26,Loan Officer-000002
0,14,Approve loan offer,2023-04-20 13:47:58.547027152+00:00,2023-04-20 14:07:58.547027152+00:00,27,Senior Officer-000001
1,17,Approve loan offer,2023-04-20 09:42:58.198402426+00:00,2023-04-20 10:02:58.198402426+00:00,28,Senior Officer-000002
4,4,Check credit history,2023-04-20 10:31:51.014640872+00:00,2023-04-20 11:04:35.686494785+00:00,29,Clerk-000003
6,10,Check credit history,2023-04-20 11:07:24.079132997+00:00,2023-04-20 11:09:46.267165240+00:00,30,Clerk-000007
7,1,Check application form completeness,2023-04-20 11:30:00+00:00,2023-04-20 12:00:49.498294273+00:00,31,Clerk-000002
5,6,Appraise property,2023-04-20 11:31:24.256810465+00:00,2023-04-20 12:05:34.041871236+00:00,32,Appraiser-000002
2,16,Design loan offer,2023-04-20 12:03:23.896645770+00:00,2023-04-20 12:15:01.888227845+00:00,33,Loan Officer-000004
3,3,Appraise property,2023-04-20 12:41:06.865216108+00:00,2023-04-20 12:42:56.017803018+00:00,34,Appraiser-000001
0,12,Approve application,2023-04-20 14:07:58.547027152+00:00,2023-04-20 14:12:58.547027152+00:00,35,Clerk-000008
1,9,Cancel application,2023-04-20 10:02:58.198402426+00:00,2023-04-20 10:07:58.198402426+00:00,36,Clerk-000006
4,13,Assess loan risk,2023-04-20 11:04:35.686494785+00:00,2023-04-20 11:24:35.686494785+00:00,37,Loan Officer-000002
6,6,Appraise property,2023-04-20 11:09:46.267165240+00:00,2023-04-20 11:30:46.027107700+00:00,38,Appraiser-000002
8,9,Check application form completeness,2023-04-20 12:00:00+00:00,2023-04-20 12:03:18.918974137+00:00,39,Clerk-000006
7,4,Check credit history,2023-04-20 12:00:49.498294273+00:00,2023-04-20 12:13:28.801982919+00:00,40,Clerk-000003
5,0,Check credit history,2023-04-20 12:05:34.041871236+00:00,2023-04-20 12:50:06.481885901+00:00,41,Clerk-000001
2,17,Approve loan offer,2023-04-20 12:15:01.888227845+00:00,2023-04-20 12:35:01.888227845+00:00,42,Senior Officer-000002
3,13,Assess loan risk,2023-04-20 12:42:56.017803018+00:00,2023-04-20 13:02:56.017803018+00:00,43,Loan Officer-000002
7,3,Appraise property,2023-04-20 12:13:28.801982919+00:00,2023-04-20 12:23:44.976411803+00:00,46,Appraiser-000001
9,10,Check application form completeness,2023-04-20 12:30:00+00:00,2023-04-20 12:44:41.661741730+00:00,47,Clerk-000007
2,8,Approve application,2023-04-20 12:35:01.888227845+00:00,2023-04-20 12:40:01.888227845+00:00,48,Clerk-000005
5,16,Assess loan risk,2023-04-20 12:50:06.481885901+00:00,2023-04-20 13:10:06.481885901+00:00,49,Loan Officer-000004
3,1,Reject application,2023-04-20 13:02:56.017803018+00:00,2023-04-20 13:12:56.017803018+00:00,50,Clerk-000002
4,13,Design loan offer,2023-04-20 11:24:35.686494785+00:00,2023-04-20 11:27:27.915682370+00:00,51,Loan Officer-000002
7,7,AML check,2023-04-20 12:23:44.976411803+00:00,2023-04-20 12:37:41.591978234+00:00,52,AML Investigator-000002
8,7,AML check,2023-04-20 12:42:56.017803018+00:00,2023-04-20 12:51:48.028639971+00:00,53,AML Investigator-000002
9,2,AML check,2023-04-20 12:44:41.661741730+00:00,2023-04-20 13:12:48.533543270+00:00,54,AML Investigator-000001
10,9,Check application form completeness,2023-04-20 13:00:00+00:00,2023-04-20 13:34:16.861885882+00:00,55,Clerk-000006
5,13,Design loan offer,2023-04-20 13:10:06.481885901+00:00,2023-04-20 13:35:28.081789122+00:00,56,Loan Officer-000002
4,17,Approve loan offer,2023-04-20 11:27:27.915682370+00:00,2023-04-20 11:47:27.915682370+00:00,57,Senior Officer-000002
7,11,Assess loan risk,2023-04-20 12:37:41.591978234+00:00,2023-04-20 12:57:41.591978234+00:00,58,Loan Officer-000001
8,4,Check credit history,2023-04-20 12:51:48.028639971+00:00,2023-04-20 12:59:23.616151679+00:00,60,Clerk-000003
9,8,Check credit history,2023-04-20 13:12:48.533543270+00:00,2023-04-20 13:19:12.803578353+00:00,61,Clerk-000005
11,10,Check application form completeness,2023-04-20 13:30:00+00:00,2023-04-20 13:40:12.717447209+00:00,62,Clerk-000007
10,7,AML check,2023-04-20 13:34:16.861885882+00:00,2023-04-20 13:38:06.774969874+00:00,63,AML Investigator-000002
5,17,Approve loan offer,2023-04-20 13:35:28.081789122+00:00,2023-04-20 13:55:28.081789122+00:00,64,Senior Officer-000002
4,0,Approve application,2023-04-20 11:47:27.915682370+00:00,2023-04-20 11:52:27.915682370+00:00,65,Clerk-000001
7,0,Reject application,2023-04-20 12:57:41.591978234+00:00,2023-04-20 13:07:41.591978234+00:00,66,Clerk-000001
8,3,Appraise property,2023-04-20 12:59:23.616151679+00:00,2023-04-20 13:08:58.450772653+00:00,67,Appraiser-000001
6,2,AML check,2023-04-20 13:12:48.533543270+00:00,2023-04-20 13:24:16.021723995+00:00,68,AML Investigator-000001
9,3,Appraise property,2023-04-20 13:19:12.803578353+00:00,2023-04-20 13:25:52.347465786+00:00,69,Appraiser-000001
10,6,Appraise property,2023-04-20 13:38:06.774969874+00:00,2023-04-20 13:41:46.945492747+00:00,70,Appraiser-000002
11,4,Check credit history,2023-04-20 13:40:12.717447209+00:00,2023-04-20 13:42:45.053592906+00:00,71,Clerk-000003
5,0,Cancel application,2023-04-20 13:55:28.081789122+00:00,2023-04-20 14:00:28.081789122+00:00,72,Clerk-000001
8,15,Assess loan risk,2023-04-20 13:08:58.450772653+00:00,2023-04-20 13:28:58.450772653+00:00,73,Loan Officer-000003
