case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,19,Packing,2012-03-14 20:50:00+00:00,2012-03-14 20:50:00+00:00,0,ID4820
0,0,Final Inspection Q.C.,2012-03-14 20:50:00+00:00,2012-03-14 21:53:09.646816914+00:00,1,ID4163
1,5,Turning & Milling,2012-03-15 01:59:00+00:00,2012-03-16 00:09:06.176951636+00:00,2,ID0997
2,30,Lapping,2012-03-15 15:05:51.202460626+00:00,2012-03-15 16:19:29.226125491+00:00,3,ID0420
1,7,Turning & Milling,2012-03-16 00:09:06.176951636+00:00,2012-03-16 00:09:06.176951636+00:00,4,ID4219
2,31,Round Grinding,2012-03-15 16:19:29.226125491+00:00,2012-03-15 19:32:47.314080670+00:00,5,ID4109
3,7,Turning & Milling,2012-03-15 17:42:36.875687601+00:00,2012-03-15 17:42:36.875687601+00:00,6,ID4219
1,23,Turning & Milling Q.C.,2012-03-16 00:09:06.176951636+00:00,2012-03-16 01:24:06.176951636+00:00,7,ID0937
3,7,Turning & Milling,2012-03-15 17:42:36.875687601+00:00,2012-03-15 17:42:36.875687601+00:00,8,ID4219
4,7,Turning & Milling,2012-03-15 18:51:19.293846053+00:00,2012-03-15 18:51:19.293846053+00:00,9,ID4219
2,37,Round Grinding,2012-03-15 19:32:47.314080670+00:00,2012-03-15 21:26:47.314080670+00:00,10,ID3854
1,2,Laser Marking,2012-03-16 01:24:06.176951636+00:00,2012-03-16 01:24:06.176951636+00:00,11,ID4794
3,25,Turning & Milling,2012-03-15 17:42:36.875687601+00:00,2012-03-15 17:42:36.875687601+00:00,12,ID4132
4,25,Turning & Milling,2012-03-15 18:51:19.293846053+00:00,2012-03-15 18:51:19.293846053+00:00,13,ID4132
5,40,Turning,2012-03-15 20:08:47.327058008+00:00,2012-03-15 21:08:46.327058008+00:00,14,ID3718
2,39,Round Grinding,2012-03-15 21:26:47.314080670+00:00,2012-03-16 00:50:29.577617126+00:00,15,ID4160
1,26,Round Grinding,2012-03-16 01:24:06.176951636+00:00,2012-03-16 01:24:06.176951636+00:00,16,ID4385
3,13,Turning & Milling Q.C.,2012-03-15 17:42:36.875687601+00:00,2012-03-15 20:44:06.138357796+00:00,17,ID4493
4,35,Turning & Milling,2012-03-15 18:51:19.293846053+00:00,2012-03-16 05:52:18.293846053+00:00,18,ID4162
5,24,Turning,2012-03-15 21:08:46.327058008+00:00,2012-03-16 01:38:46.327058008+00:00,19,ID4442
2,13,Round  Q.C.,2012-03-16 00:50:29.577617126+00:00,2012-03-16 01:59:52.887885660+00:00,20,ID4493
1,26,Round Grinding,2012-03-16 01:24:06.176951636+00:00,2012-03-16 01:24:06.176951636+00:00,21,ID4385
3,14,Nitration Q.C.,2012-03-15 20:44:06.138357796+00:00,2012-03-15 20:47:06.138357796+00:00,22,ID4618
1,26,Round Grinding,2012-03-16 01:24:06.176951636+00:00,2012-03-16 01:24:06.176951636+00:00,23,ID4385
5,18,Turning Q.C.,2012-03-16 01:38:46.327058008+00:00,2012-03-16 03:19:26.128062087+00:00,24,ID4287
4,38,Turning & Milling,2012-03-16 05:52:18.293846053+00:00,2012-03-16 05:52:18.293846053+00:00,26,ID4140
3,2,Laser Marking,2012-03-15 20:47:06.138357796+00:00,2012-03-15 20:47:06.138357796+00:00,27,ID4794
1,26,Round Grinding,2012-03-16 01:24:06.176951636+00:00,2012-03-16 01:24:06.176951636+00:00,28,ID4385
5,2,Turning,2012-03-16 03:19:26.128062087+00:00,2012-03-16 03:19:26.128062087+00:00,29,ID4794
6,38,Turning & Milling,2012-03-16 04:04:00+00:00,2012-03-16 04:04:00+00:00,30,ID4140
4,38,Turning & Milling,2012-03-16 05:52:18.293846053+00:00,2012-03-16 05:52:18.293846053+00:00,31,ID4140
2,21,Packing,2012-03-16 07:00:00+00:00,2012-03-16 08:00:00+00:00,32,ID4491
3,4,Laser Marking,2012-03-15 20:47:06.138357796+00:00,2012-03-15 20:56:08.974810543+00:00,33,ID4882
