case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,0,Round Grinding - Q.C.,2012-03-14 13:50:00+00:00,2012-03-14 15:27:11.204444330+00:00,0,Quality Check 1
1,13,Turning & Milling - Machine 6,2012-03-14 14:35:22.091255262+00:00,2012-03-14 14:35:22.091255262+00:00,1,Machine 6 - Turning & Milling
0,0,Round Grinding - Q.C.,2012-03-14 15:27:11.204444330+00:00,2012-03-14 15:35:16.579841636+00:00,2,Quality Check 1
1,13,Turning & Milling - Machine 6,2012-03-14 14:35:22.091255262+00:00,2012-03-14 14:35:22.091255262+00:00,3,Machine 6 - Turning & Milling
1,13,Turning & Milling - Machine 6,2012-03-14 15:27:11.204444330+00:00,2012-03-14 15:27:11.204444330+00:00,5,Machine 6 - Turning & Milling
1,13,Turning & Milling - Machine 6,2012-03-14 15:27:11.204444330+00:00,2012-03-14 15:27:11.204444330+00:00,6,Machine 6 - Turning & Milling
1,13,Turning & Milling - Machine 6,2012-03-14 15:27:11.204444330+00:00,2012-03-14 15:27:11.204444330+00:00,7,Machine 6 - Turning & Milling
1,13,Turning & Milling - Machine 6,2012-03-14 15:27:11.204444330+00:00,2012-03-14 15:27:11.204444330+00:00,8,Machine 6 - Turning & Milling
1,13,Turning & Milling - Machine 6,2012-03-14 15:27:11.204444330+00:00,2012-03-14 15:27:11.204444330+00:00,9,Machine 6 - Turning & Milling
1,13,Turning & Milling - Machine 6,2012-03-14 15:27:11.204444330+00:00,2012-03-14 15:27:11.204444330+00:00,10,Machine 6 - Turning & Milling
1,13,Turning & Milling - Machine 6,2012-03-14 15:27:11.204444330+00:00,2012-03-14 15:27:11.204444330+00:00,11,Machine 6 - Turning & Milling
1,13,Turning & Milling - Machine 6,2012-03-14 15:27:11.204444330+00:00,2012-03-14 15:27:11.204444330+00:00,12,Machine 6 - Turning & Milling
1,13,Turning & Milling - Machine 6,2012-03-14 15:27:11.204444330+00:00,2012-03-14 15:27:11.204444330+00:00,13,Machine 6 - Turning & Milling
1,13,Turning & Milling - Machine 6,2012-03-14 15:27:11.204444330+00:00,2012-03-14 15:27:11.204444330+00:00,14,Machine 6 - Turning & Milling
1,6,Turning & Milling - Machine 9,2012-03-14 15:27:11.204444330+00:00,2012-03-14 15:27:11.204444330+00:00,15,Machine 9 - Turning & Milling
1,13,Turning & Milling - Machine 6,2012-03-14 15:27:11.204444330+00:00,2012-03-14 15:27:11.204444330+00:00,16,Machine 6 - Turning & Milling
1,0,Turning & Milling Q.C.,2012-03-14 15:35:16.579841636+00:00,2012-03-14 17:02:48.373439548+00:00,18,Quality Check 1
1,0,Turning & Milling Q.C.,2012-03-14 17:02:48.373439548+00:00,2012-03-14 18:09:54.649445909+00:00,19,Quality Check 1
1,0,Turning & Milling Q.C.,2012-03-14 18:09:54.649445909+00:00,2012-03-15 07:56:07.889083322+00:00,20,Quality Check 1
2,15,Turning & Milling - Machine 10,2012-03-14 23:30:10.646813778+00:00,2012-03-14 23:30:10.646813778+00:00,21,Machine 10 - Grinding
1,0,Turning & Milling Q.C.,2012-03-15 07:56:07.889083322+00:00,2012-03-15 08:11:46.675060556+00:00,22,Quality Check 1
3,6,Turning - Machine 9,2012-03-15 00:00:00+00:00,2012-03-15 00:00:00+00:00,24,Machine 9 - Turning & Milling
1,6,Turning & Milling - Machine 9,2012-03-15 08:11:46.675060556+00:00,2012-03-15 08:11:46.675060556+00:00,25,Machine 9 - Turning & Milling
3,6,Turning - Machine 9,2012-03-15 00:00:00+00:00,2012-03-15 00:00:00+00:00,26,Machine 9 - Turning & Milling
1,0,Turning & Milling Q.C.,2012-03-15 08:11:46.675060556+00:00,2012-03-15 09:12:42.391960970+00:00,28,Quality Check 1
3,6,Turning - Machine 9,2012-03-15 00:00:00+00:00,2012-03-15 00:00:00+00:00,29,Machine 9 - Turning & Milling
2,15,Turning & Milling - Machine 10,2012-03-15 08:11:46.675060556+00:00,2012-03-15 08:11:46.675060556+00:00,30,Machine 10 - Grinding
4,1,Round Grinding - Machine 3,2012-03-15 08:58:33.516210476+00:00,2012-03-15 08:58:33.516210476+00:00,31,Machine 3 - Round Grinding
1,4,Lapping - Machine 1,2012-03-15 09:12:42.391960970+00:00,2012-03-15 09:12:42.391960970+00:00,32,Machine 1 - Lapping
2,15,Turning & Milling - Machine 10,2012-03-15 08:11:46.675060556+00:00,2012-03-15 08:11:46.675060556+00:00,34,Machine 10 - Grinding
4,4,Lapping - Machine 1,2012-03-15 08:58:33.516210476+00:00,2012-03-15 08:58:33.516210476+00:00,35,Machine 1 - Lapping
1,9,Laser Marking - Machine 7,2012-03-15 09:12:42.391960970+00:00,2012-03-15 09:12:42.391960970+00:00,36,Machine 7- Laser Marking
4,1,Round Grinding - Machine 3,2012-03-15 08:58:33.516210476+00:00,2012-03-15 08:58:33.516210476+00:00,39,Machine 3 - Round Grinding
1,4,Lapping - Machine 1,2012-03-15 09:12:42.391960970+00:00,2012-03-15 09:12:42.391960970+00:00,40,Machine 1 - Lapping
4,1,Round Grinding - Machine 3,2012-03-15 08:58:33.516210476+00:00,2012-03-15 08:58:33.516210476+00:00,42,Machine 3 - Round Grinding
2,15,Turning & Milling - Machine 10,2012-03-15 09:12:42.391960970+00:00,2012-03-15 09:12:42.391960970+00:00,43,Machine 10 - Grinding
1,9,Laser Marking - Machine 7,2012-03-15 09:12:42.391960970+00:00,2012-03-15 09:12:42.391960970+00:00,44,Machine 7- Laser Marking
4,1,Round Grinding - Machine 3,2012-03-15 08:58:33.516210476+00:00,2012-03-15 08:58:33.516210476+00:00,45,Machine 3 - Round Grinding
3,6,Turning - Machine 9,2012-03-15 09:12:42.391960970+00:00,2012-03-15 09:12:42.391960970+00:00,46,Machine 9 - Turning & Milling
2,15,Turning & Milling - Machine 10,2012-03-15 09:12:42.391960970+00:00,2012-03-15 09:12:42.391960970+00:00,47,Machine 10 - Grinding
1,4,Lapping - Machine 1,2012-03-15 09:12:42.391960970+00:00,2012-03-15 09:12:42.391960970+00:00,48,Machine 1 - Lapping
4,8,Round Grinding - Machine 2,2012-03-15 08:58:33.516210476+00:00,2012-03-15 08:58:33.516210476+00:00,49,Machine 2 - Round Grinding
3,6,Turning - Machine 9,2012-03-15 09:12:42.391960970+00:00,2012-03-15 09:12:42.391960970+00:00,50,Machine 9 - Turning & Milling
2,0,Turning & Milling Q.C.,2012-03-15 09:12:42.391960970+00:00,2012-03-15 09:36:21.572565342+00:00,51,Quality Check 1
1,8,Round Grinding - Machine 2,2012-03-15 09:12:42.391960970+00:00,2012-03-15 09:12:42.391960970+00:00,52,Machine 2 - Round Grinding
4,9,Laser Marking - Machine 7,2012-03-15 08:58:33.516210476+00:00,2012-03-15 08:58:33.516210476+00:00,53,Machine 7- Laser Marking
1,8,Round Grinding - Machine 2,2012-03-15 09:12:42.391960970+00:00,2012-03-15 09:12:42.391960970+00:00,55,Machine 2 - Round Grinding
2,9,Laser Marking - Machine 7,2012-03-15 09:36:21.572565342+00:00,2012-03-15 09:36:21.572565342+00:00,56,Machine 7- Laser Marking
4,9,Laser Marking - Machine 7,2012-03-15 08:58:33.516210476+00:00,2012-03-15 08:58:33.516210476+00:00,57,Machine 7- Laser Marking
1,8,Round Grinding - Machine 2,2012-03-15 09:12:42.391960970+00:00,2012-03-15 09:12:42.391960970+00:00,58,Machine 2 - Round Grinding
3,0,Turning Q.C.,2012-03-15 09:36:21.572565342+00:00,2012-03-15 09:45:34.004237075+00:00,59,Quality Check 1
2,4,Lapping - Machine 1,2012-03-15 09:36:21.572565342+00:00,2012-03-15 09:36:21.572565342+00:00,60,Machine 1 - Lapping
1,8,Round Grinding - Machine 2,2012-03-15 09:12:42.391960970+00:00,2012-03-15 09:12:42.391960970+00:00,62,Machine 2 - Round Grinding
2,4,Lapping - Machine 1,2012-03-15 09:36:21.572565342+00:00,2012-03-15 09:36:21.572565342+00:00,63,Machine 1 - Lapping
3,10,Flat Grinding - Machine 11,2012-03-15 09:45:34.004237075+00:00,2012-03-15 09:45:34.004237075+00:00,64,Machine 11 - Grinding
1,8,Round Grinding - Machine 2,2012-03-15 09:12:42.391960970+00:00,2012-03-15 09:12:42.391960970+00:00,66,Machine 2 - Round Grinding
2,18,Round Grinding - Machine 12,2012-03-15 09:36:21.572565342+00:00,2012-03-15 09:36:21.572565342+00:00,67,Machine 12 - Grinding
3,9,Laser Marking - Machine 7,2012-03-15 09:45:34.004237075+00:00,2012-03-15 09:45:34.004237075+00:00,68,Machine 7- Laser Marking
