case_id,agent,activity_name,start_timestamp,end_timestamp,TimeStep,resource
0,7,Turning - Machine 8,2012-03-14 13:50:00+00:00,2012-03-14 13:50:00+00:00,0,Machine 8 - Turning & Milling
0,15,Turning & Milling - Machine 10,2012-03-14 13:50:00+00:00,2012-03-14 13:50:00+00:00,1,Machine 10 - Grinding
0,10,Flat Grinding - Machine 11,2012-03-14 13:50:00+00:00,2012-03-14 13:50:00+00:00,2,Machine 11 - Grinding
0,0,Round Grinding - Q.C.,2012-03-14 13:50:00+00:00,2012-03-14 13:50:32.170437987+00:00,3,Quality Check 1
0,0,Turning & Milling Q.C.,2012-03-14 13:50:32.170437987+00:00,2012-03-14 14:18:40.349528397+00:00,4,Quality Check 1
0,1,Round Grinding - Machine 3,2012-03-14 14:18:40.349528397+00:00,2012-03-14 14:18:40.349528397+00:00,5,Machine 3 - Round Grinding
0,18,Round Grinding - Machine 12,2012-03-14 14:18:40.349528397+00:00,2012-03-14 14:18:40.349528397+00:00,6,Machine 12 - Grinding
0,0,Turning & Milling Q.C.,2012-03-14 14:18:40.349528397+00:00,2012-03-14 16:56:32.818445116+00:00,7,Quality Check 1
0,0,Round Grinding - Q.C.,2012-03-14 16:56:32.818445116+00:00,2012-03-14 18:22:41.573908177+00:00,8,Quality Check 1
0,1,Round Grinding - Machine 3,2012-03-14 18:22:41.573908177+00:00,2012-03-14 18:22:41.573908177+00:00,9,Machine 3 - Round Grinding
0,18,Round Grinding - Machine 12,2012-03-14 18:22:41.573908177+00:00,2012-03-14 18:22:41.573908177+00:00,10,Machine 12 - Grinding
0,4,Lapping - Machine 1,2012-03-14 18:22:41.573908177+00:00,2012-03-14 18:22:41.573908177+00:00,11,Machine 1 - Lapping
0,0,Turning & Milling Q.C.,2012-03-14 18:22:41.573908177+00:00,2012-03-15 08:17:29.866597635+00:00,12,Quality Check 1
1,3,Turning - Machine 8,2012-03-14 21:54:22.614452194+00:00,2012-03-15 08:36:10.491220182+00:00,13,Machine 15 - Turning
0,4,Lapping - Machine 1,2012-03-15 08:17:29.866597635+00:00,2012-03-15 08:17:29.866597635+00:00,14,Machine 1 - Lapping
2,13,Turning & Milling - Machine 6,2012-03-14 22:20:17.080338270+00:00,2012-03-14 22:20:17.080338270+00:00,15,Machine 6 - Turning & Milling
0,18,Round Grinding - Machine 12,2012-03-15 08:17:29.866597635+00:00,2012-03-15 08:17:29.866597635+00:00,16,Machine 12 - Grinding
1,7,Turning - Machine 8,2012-03-15 08:36:10.491220182+00:00,2012-03-15 08:36:10.491220182+00:00,17,Machine 8 - Turning & Milling
2,13,Turning & Milling - Machine 6,2012-03-14 22:20:17.080338270+00:00,2012-03-14 22:20:17.080338270+00:00,18,Machine 6 - Turning & Milling
0,14,Packing,2012-03-15 08:17:29.866597635+00:00,2012-03-15 08:17:29.866597635+00:00,20,Packing
1,0,Turning Q.C.,2012-03-15 08:36:10.491220182+00:00,2012-03-15 09:19:03.003505026+00:00,21,Quality Check 1
2,13,Turning & Milling - Machine 6,2012-03-14 22:20:17.080338270+00:00,2012-03-14 22:20:17.080338270+00:00,22,Machine 6 - Turning & Milling
3,13,Turning & Milling - Machine 6,2012-03-15 01:00:00+00:00,2012-03-15 01:00:00+00:00,23,Machine 6 - Turning & Milling
4,14,Packing,2012-03-15 02:08:02.814806108+00:00,2012-03-15 02:08:02.814806108+00:00,24,Packing
1,0,Turning & Milling Q.C.,2012-03-15 09:19:03.003505026+00:00,2012-03-15 10:00:00.792408833+00:00,26,Quality Check 1
2,13,Turning & Milling - Machine 6,2012-03-14 22:20:17.080338270+00:00,2012-03-14 22:20:17.080338270+00:00,27,Machine 6 - Turning & Milling
3,13,Turning & Milling - Machine 6,2012-03-15 01:00:00+00:00,2012-03-15 01:00:00+00:00,28,Machine 6 - Turning & Milling
5,6,Turning & Milling - Machine 9,2012-03-15 06:06:28.032011727+00:00,2012-03-15 06:06:28.032011727+00:00,30,Machine 9 - Turning & Milling
1,7,Turning & Milling - Machine 8,2012-03-15 10:00:00.792408833+00:00,2012-03-15 10:00:00.792408833+00:00,32,Machine 8 - Turning & Milling
2,13,Turning & Milling - Machine 6,2012-03-14 22:20:17.080338270+00:00,2012-03-14 22:20:17.080338270+00:00,33,Machine 6 - Turning & Milling
4,1,Fix - Machine 3,2012-03-15 08:17:29.866597635+00:00,2012-03-15 08:17:29.866597635+00:00,36,Machine 3 - Round Grinding
0,0,Round Grinding - Q.C.,2012-03-15 10:00:00.792408833+00:00,2012-03-15 11:41:10.439636197+00:00,37,Quality Check 1
1,7,Turning & Milling - Machine 8,2012-03-15 10:00:00.792408833+00:00,2012-03-15 10:00:00.792408833+00:00,38,Machine 8 - Turning & Milling
2,13,Turning & Milling - Machine 6,2012-03-14 22:20:17.080338270+00:00,2012-03-14 22:20:17.080338270+00:00,39,Machine 6 - Turning & Milling
3,13,Turning & Milling - Machine 6,2012-03-15 08:17:29.866597635+00:00,2012-03-15 08:17:29.866597635+00:00,40,Machine 6 - Turning & Milling
