case_id,activity,enable_time,start_time,end_time,resource
10,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:15:00.000000+00:00,2018-09-26 08:16:47.068349+00:00,batch_00
64,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:16:47.068349+00:00,2018-09-26 08:17:13.930344+00:00,batch_00
6,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:17:13.930344+00:00,2018-09-26 08:17:24.200414+00:00,batch_00
29,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:17:24.200414+00:00,2018-09-26 08:17:28.586568+00:00,batch_00
1,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:17:28.586568+00:00,2018-09-26 08:17:28.586569+00:00,batch_00
154,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:17:28.586569+00:00,2018-09-26 08:17:28.591208+00:00,batch_00
63,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:17:28.591208+00:00,2018-09-26 08:17:28.591298+00:00,batch_00
71,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:17:28.591298+00:00,2018-09-26 08:19:31.905532+00:00,batch_00
173,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:19:31.905532+00:00,2018-09-26 08:19:31.910658+00:00,batch_00
120,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:19:31.910658+00:00,2018-09-26 08:20:02.038577+00:00,batch_00
94,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:20:02.038577+00:00,2018-09-26 08:20:02.048996+00:00,batch_00
109,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:20:02.048996+00:00,2018-09-26 08:20:14.524124+00:00,batch_00
141,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:20:14.524124+00:00,2018-09-26 08:21:34.606520+00:00,batch_00
137,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:21:34.606520+00:00,2018-09-26 08:21:37.728234+00:00,batch_00
4,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:21:37.728234+00:00,2018-09-26 08:21:41.013959+00:00,batch_00
93,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:21:41.013959+00:00,2018-09-26 08:21:41.013959+00:00,batch_00
35,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:21:41.013959+00:00,2018-09-26 08:21:41.013959+00:00,batch_00
65,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:21:41.013959+00:00,2018-09-26 08:21:41.014028+00:00,batch_00
104,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:21:41.014028+00:00,2018-09-26 08:21:54.861124+00:00,batch_00
60,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:21:54.861124+00:00,2018-09-26 08:27:21.989297+00:00,batch_00
92,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:27:21.989297+00:00,2018-09-26 08:27:22.152881+00:00,batch_00
46,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:27:22.152881+00:00,2018-09-26 08:27:29.949423+00:00,batch_00
116,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:27:29.949423+00:00,2018-09-26 08:40:03.745184+00:00,batch_00
57,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:40:03.745184+00:00,2018-09-26 08:41:56.188219+00:00,batch_00
30,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:41:56.188219+00:00,2018-09-26 08:42:00.720095+00:00,batch_00
54,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:00.720095+00:00,2018-09-26 08:42:00.720552+00:00,batch_00
75,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:00.720552+00:00,2018-09-26 08:42:04.772191+00:00,batch_00
59,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:04.772191+00:00,2018-09-26 08:42:09.841653+00:00,batch_00
177,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:09.841653+00:00,2018-09-26 08:42:09.849611+00:00,batch_00
62,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:09.849611+00:00,2018-09-26 08:42:10.242743+00:00,batch_00
175,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:10.242743+00:00,2018-09-26 08:42:10.243909+00:00,batch_00
12,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:10.243909+00:00,2018-09-26 08:42:10.279908+00:00,batch_00
138,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:10.279908+00:00,2018-09-26 08:42:16.281251+00:00,batch_00
147,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:16.281251+00:00,2018-09-26 08:42:16.281826+00:00,batch_00
91,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:16.281826+00:00,2018-09-26 08:42:16.281839+00:00,batch_00
164,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:16.281839+00:00,2018-09-26 08:43:27.227953+00:00,batch_00
114,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:43:27.227953+00:00,2018-09-26 08:43:27.230219+00:00,batch_00
135,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:43:27.230219+00:00,2018-09-26 08:43:27.336224+00:00,batch_00
88,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:43:27.336224+00:00,2018-09-26 08:43:29.991722+00:00,batch_00
171,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:43:29.991722+00:00,2018-09-26 08:43:47.725826+00:00,batch_00
