case_id,activity,enable_time,start_time,end_time,resource
1,Change Version - Machine 22,2012-02-27 23:58:31.570659+00:00,2012-02-28 06:40:00.000000+00:00,2012-02-28 21:53:18.093108+00:00,ID4851
2,Turning - Machine 8,2012-02-28 00:19:04.809123+00:00,2012-02-28 08:00:00.000000+00:00,2012-02-28 08:07:12.500967+00:00,ID0997
3,Turning & Milling - Machine 10,2012-02-28 06:00:00.000110+00:00,2012-02-28 07:00:00.000000+00:00,2012-02-28 07:13:11.076137+00:00,ID4132
3,Turn & Mill. & Screw Assem - Machine 10,2012-02-28 06:56:50.581800+00:00,2012-02-28 06:56:50.581800+00:00,2012-02-28 08:11:50.581800+00:00,ID0937
2,Turning - Machine 8,2012-02-28 08:07:12.500967+00:00,2012-02-28 08:07:12.500967+00:00,2012-02-28 09:07:12.500967+00:00,ID3718
2,Turning - Machine 8,2012-02-28 10:00:57.678440+00:00,2012-02-28 10:00:57.678440+00:00,2012-02-28 17:00:07.160708+00:00,ID4622
3,Turning & Milling - Machine 10,2012-02-28 10:51:51.446779+00:00,2012-02-28 10:51:51.446779+00:00,2012-02-28 12:06:51.446779+00:00,ID4142
5,Turning & Milling - Machine 8,2012-02-28 11:32:16.698331+00:00,2012-02-28 11:32:16.698331+00:00,2012-02-28 11:32:16.698331+00:00,ID4445
5,Turning - Machine 9,2012-02-28 12:01:15.345096+00:00,2012-02-28 12:01:15.345096+00:00,2012-02-28 13:48:41.282159+00:00,ID4641
5,Turning & Milling - Machine 9,2012-02-28 12:20:16.673658+00:00,2012-02-28 12:20:16.673658+00:00,2012-02-28 13:35:16.673658+00:00,ID4140
5,Turning & Milling - Machine 9,2012-02-28 13:35:16.673658+00:00,2012-02-28 13:35:16.673658+00:00,2012-02-29 02:36:16.674658+00:00,ID4162
5,Turning - Machine 9,2012-02-28 13:58:55.361164+00:00,2012-02-28 13:58:55.361164+00:00,2012-02-28 20:54:55.360165+00:00,ID4932
6,Turning & Milling - Machine 8,2012-02-28 15:21:11.446062+00:00,2012-02-28 15:21:11.446062+00:00,2012-02-28 20:42:02.319037+00:00,ID4529
7,Turning & Milling - Machine 10,2012-02-28 17:00:00.000000+00:00,2012-02-28 17:00:00.000000+00:00,2012-02-28 21:57:12.100754+00:00,ID4794
7,Turn & Mill. & Screw Assem - Machine 10,2012-02-28 17:00:01.354370+00:00,2012-02-28 20:20:00.000000+00:00,2012-02-29 10:56:46.780619+00:00,ID3846
2,Turning - Machine 8,2012-02-28 17:00:07.160708+00:00,2012-02-28 17:00:07.160708+00:00,2012-02-29 00:46:45.545535+00:00,ID4799
6,Turning & Milling - Machine 9,2012-02-28 20:42:02.319037+00:00,2012-02-29 07:00:00.000000+00:00,2012-02-29 08:15:00.000000+00:00,ID4287
5,Turning - Machine 9,2012-02-28 20:54:55.360486+00:00,2012-02-28 21:20:00.000000+00:00,2012-02-29 08:04:19.084908+00:00,ID4132
6,Turning - Machine 9,2012-02-28 21:48:38.541067+00:00,2012-02-28 23:20:00.000000+00:00,2012-02-29 12:14:02.360454+00:00,ID4641
7,Turning & Milling - Machine 10,2012-02-28 21:57:12.305276+00:00,2012-02-29 07:00:00.000000+00:00,2012-02-29 07:04:00.000000+00:00,ID4618
8,Turning - Machine 9,2012-02-29 00:00:00.000000+00:00,2012-02-29 00:00:00.000000+00:00,2012-02-29 06:55:59.999001+00:00,ID4932
5,Turning & Milling - Machine 9,2012-02-29 03:00:59.778048+00:00,2012-02-29 07:00:00.000000+00:00,2012-02-29 07:01:00.000000+00:00,ID4429
9,Turning - Machine 9,2012-02-29 03:02:05.294867+00:00,2012-02-29 06:55:59.999001+00:00,2012-02-29 13:51:59.998002+00:00,ID4932
8,Turning & Milling - Machine 8,2012-02-29 03:28:44.638335+00:00,2012-02-29 03:28:44.638335+00:00,2012-02-29 14:28:44.638335+00:00,ID4783
0,Turning - Machine 8,2012-02-29 03:49:44.840351+00:00,2012-02-29 07:00:00.000000+00:00,2012-02-29 07:48:00.462429+00:00,ID4219
2,Packing,2012-02-29 03:58:19.152258+00:00,2012-02-29 03:58:19.152258+00:00,2012-02-29 04:58:19.152258+00:00,ID4291
2,Lapping - Machine 1,2012-02-29 04:58:19.237364+00:00,2012-02-29 04:58:19.237364+00:00,2012-02-29 08:17:18.243161+00:00,ID0420
9,Turning & Milling - Machine 8,2012-02-29 05:09:23.508382+00:00,2012-02-29 05:09:23.508382+00:00,2012-02-29 05:09:23.508382+00:00,ID4872
9,Turning & Milling - Machine 8,2012-02-29 05:09:23.659845+00:00,2012-02-29 07:00:00.000000+00:00,2012-03-01 08:55:40.360685+00:00,ID0997
