case_id,activity,enable_time,start_time,end_time,resource
0,SETUP     Turning & Milling - Machine 5,2012-02-27 16:40:00.000000+00:00,2012-02-27 16:40:00.000000+00:00,2012-02-27 17:50:30.000000+00:00,ID4932
0,Turning & Milling - Machine 5,2012-02-27 19:16:08.354326+00:00,2012-02-27 19:16:08.354326+00:00,2012-02-27 20:31:08.354326+00:00,ID0937
0,Laser Marking - Machine 7,2012-02-28 12:23:42.295863+00:00,2012-02-28 12:23:42.295863+00:00,2012-02-28 13:07:42.295863+00:00,ID0420
1,Turn & Mill. & Screw Assem - Machine 9,2012-02-28 13:38:50.987622+00:00,2012-02-28 16:00:00.000000+00:00,2012-02-28 16:51:04.543459+00:00,ID3846
1,Turn & Mill. & Screw Assem - Machine 9,2012-02-28 17:08:06.020053+00:00,2012-02-28 17:08:06.020053+00:00,2012-02-28 19:23:06.020053+00:00,ID4932
2,Turning - Machine 9,2012-02-28 20:00:00.000000+00:00,2012-02-29 07:12:00.000000+00:00,2012-02-29 16:28:09.163978+00:00,ID4132
2,Turning & Milling - Machine 10,2012-02-28 20:00:00.009998+00:00,2012-02-28 20:00:00.009998+00:00,2012-02-28 23:15:00.009998+00:00,ID4142
2,Turning & Milling - Machine 8,2012-02-28 20:00:00.011456+00:00,2012-02-28 20:00:00.011456+00:00,2012-02-29 03:32:44.766190+00:00,ID0997
2,Turning & Milling - Machine 9,2012-02-28 20:00:01.277159+00:00,2012-02-28 20:00:01.277159+00:00,2012-02-28 20:38:01.277159+00:00,ID4140
2,Turning - Machine 8,2012-02-28 20:04:08.580662+00:00,2012-02-28 20:04:08.580662+00:00,2012-02-28 21:52:08.580662+00:00,ID3718
2,Packing,2012-02-28 21:17:30.030987+00:00,2012-02-28 21:36:00.000000+00:00,2012-02-28 23:23:29.778877+00:00,ID4291
2,Turning & Milling - Machine 5,2012-02-28 21:54:29.872523+00:00,2012-02-28 21:54:29.872523+00:00,2012-02-29 01:19:46.848889+00:00,ID4167
2,Turn & Mill. & Screw Assem - Machine 10,2012-02-28 22:38:09.994879+00:00,2012-02-29 06:24:00.000000+00:00,2012-02-29 06:52:24.886431+00:00,ID4641
2,Turning & Milling - Machine 10,2012-02-28 23:15:00.009998+00:00,2012-02-28 23:15:00.009998+00:00,2012-02-29 01:39:54.356875+00:00,ID4794
2,Round Grinding - Machine 12,2012-02-28 23:16:13.971602+00:00,2012-02-28 23:16:13.971602+00:00,2012-02-28 23:48:00.180929+00:00,ID4528
2,Turning & Milling - Machine 4,2012-02-28 23:43:42.855458+00:00,2012-02-28 23:43:42.855458+00:00,2012-02-29 05:50:20.285021+00:00,ID4429
1,Turn & Mill. & Screw Assem - Machine 9,2012-02-29 00:18:06.704747+00:00,2012-02-29 08:48:00.000000+00:00,2012-03-01 09:37:56.826510+00:00,ID3846
2,Packing,2012-02-29 00:53:16.703440+00:00,2012-02-29 00:53:16.703440+00:00,2012-02-29 01:06:23.181628+00:00,ID4491
2,Turning & Milling - Machine 5,2012-02-29 01:51:51.610153+00:00,2012-02-29 01:51:51.610154+00:00,2012-02-29 02:29:51.610154+00:00,ID4355
2,Turning & Milling - Machine 5,2012-02-29 02:38:57.623438+00:00,2012-02-29 02:38:57.623438+00:00,2012-02-29 05:19:25.489318+00:00,ID4529
2,Turning & Milling - Machine 6,2012-02-29 08:32:01.108669+00:00,2012-02-29 08:32:01.108669+00:00,2012-02-29 09:34:37.193598+00:00,ID4718
2,Round Grinding - Machine 12,2012-02-29 09:51:16.459648+00:00,2012-02-29 09:51:16.459648+00:00,2012-02-29 09:59:39.797652+00:00,ID4872
2,Turn & Mill. & Screw Assem - Machine 10,2012-02-29 10:07:35.933389+00:00,2012-02-29 10:07:35.933389+00:00,2012-02-29 11:22:35.933389+00:00,ID0937
2,Turning & Milling - Machine 6,2012-02-29 11:10:36.237394+00:00,2012-02-29 12:00:00.000000+00:00,2012-03-01 01:16:00.000000+00:00,ID4618
2,Turn & Mill. & Screw Assem - Machine 10,2012-02-29 11:22:45.125574+00:00,2012-02-29 12:48:00.000000+00:00,2012-02-29 14:50:00.000000+00:00,ID4287
0,Grinding Rework - Machine 2,2012-02-29 12:26:00.169593+00:00,2012-02-29 12:26:00.169593+00:00,2012-02-29 16:00:32.697242+00:00,ID4385
2,Packing,2012-02-29 13:08:40.716033+00:00,2012-02-29 13:08:40.716033+00:00,2012-02-29 13:28:40.716033+00:00,ID4493
2,Fix EDM,2012-02-29 15:06:40.227750+00:00,2012-03-01 08:00:00.000000+00:00,2012-03-02 00:24:00.000000+00:00,ID3767
0,Fix - Machine 19,2012-02-29 16:02:32.697242+00:00,2012-02-29 16:02:32.697242+00:00,2012-03-01 01:59:32.696243+00:00,ID4528
3,Turning & Milling - Machine 10,2012-02-29 20:00:00.000026+00:00,2012-02-29 20:00:00.000026+00:00,2012-03-01 02:46:38.589422+00:00,ID4932
3,Turning - Machine 9,2012-02-29 20:00:00.005335+00:00,2012-02-29 20:00:00.005334+00:00,2012-03-04 04:02:21.298434+00:00,ID4641
3,Round Grinding - Machine 3,2012-02-29 20:00:14.623369+00:00,2012-02-29 20:00:14.623369+00:00,2012-03-01 00:20:44.952121+00:00,ID4445
3,Packing,2012-02-29 20:29:16.325407+00:00,2012-03-01 00:00:00.000000+00:00,2012-03-01 00:09:30.152628+00:00,ID4820
3,Turning & Milling - Machine 6,2012-02-29 20:32:51.998274+00:00,2012-02-29 20:32:51.998274+00:00,2012-03-01 00:03:47.766219+00:00,ID4167
3,Turning & Milling - Machine 4,2012-02-29 22:00:13.346356+00:00,2012-03-01 00:00:00.000000+00:00,2012-03-01 02:37:40.921748+00:00,ID4794
3,Turning & Milling - Machine 5,2012-02-29 22:12:10.574715+00:00,2012-03-01 06:24:00.000000+00:00,2012-03-01 06:24:00.000000+00:00,ID4163
4,Turning - Machine 21,2012-02-29 23:00:00.000000+00:00,2012-03-01 08:48:00.000000+00:00,2012-03-01 15:30:00.000000+00:00,ID4442
3,Round Grinding - Machine 3,2012-03-01 00:21:24.586725+00:00,2012-03-01 00:21:24.586725+00:00,2012-03-01 05:03:05.242562+00:00,ID0420
5,Turning - Machine 9,2012-03-01 02:00:00.000000+00:00,2012-03-01 08:00:00.000000+00:00,2012-03-01 08:57:26.447216+00:00,ID4132
5,Turning & Milling - Machine 9,2012-03-01 02:00:00.000038+00:00,2012-03-01 02:00:00.000038+00:00,2012-03-01 11:27:00.000038+00:00,ID4162
5,Turning & Milling - Machine 8,2012-03-01 02:09:28.655507+00:00,2012-03-01 06:24:00.000000+00:00,2012-03-01 06:24:42.794528+00:00,ID4219
3,Packing,2012-03-01 02:11:31.349582+00:00,2012-03-01 02:11:31.349582+00:00,2012-03-01 02:32:16.700456+00:00,ID4291
5,Turning & Milling - Machine 10,2012-03-01 02:12:11.837062+00:00,2012-03-01 02:12:11.837062+00:00,2012-03-01 03:27:11.837062+00:00,ID4142
5,Turning & Milling - Machine 5,2012-03-01 02:12:54.275230+00:00,2012-03-01 02:12:54.275230+00:00,2012-03-01 02:50:54.275230+00:00,ID4355
5,Packing,2012-03-01 02:16:33.286342+00:00,2012-03-01 02:16:33.286342+00:00,2012-03-01 02:29:28.909988+00:00,ID4491
6,Round Grinding - Machine 3,2012-03-01 02:24:36.621250+00:00,2012-03-01 02:24:36.621250+00:00,2012-03-01 07:14:40.785286+00:00,ID4872
6,Turning & Milling - Machine 10,2012-03-01 02:24:36.671145+00:00,2012-03-01 02:24:36.671145+00:00,2012-03-01 02:28:36.671145+00:00,ID4618
6,Turning & Milling - Machine 5,2012-03-01 02:31:41.762061+00:00,2012-03-01 02:31:41.762060+00:00,2012-03-01 03:11:11.762060+00:00,ID0997
3,Turning & Milling - Machine 10,2012-03-01 02:58:36.725930+00:00,2012-03-01 02:58:36.725930+00:00,2012-03-01 03:02:36.725930+00:00,ID4618
3,Turning & Milling - Machine 10,2012-03-01 03:02:36.891697+00:00,2012-03-01 03:02:36.891697+00:00,2012-03-01 04:41:08.713609+00:00,ID4794
6,Turning & Milling - Machine 4,2012-03-01 03:08:18.216639+00:00,2012-03-01 03:08:18.216639+00:00,2012-03-01 04:15:56.598293+00:00,ID4529
5,Turning & Milling - Machine 4,2012-03-01 03:45:56.702490+00:00,2012-03-01 03:45:56.702490+00:00,2012-03-01 04:47:41.160945+00:00,ID4429
5,Turning & Milling - Machine 10,2012-03-01 03:46:41.009102+00:00,2012-03-01 03:46:41.009102+00:00,2012-03-01 07:54:29.367577+00:00,ID4932
0,Grinding Rework - Machine 2,2012-03-01 05:08:17.735611+00:00,2012-03-01 12:00:00.000000+00:00,2012-03-01 15:58:14.500165+00:00,ID4385
6,Turning & Milling - Machine 5,2012-03-01 05:18:41.624211+00:00,2012-03-01 05:18:41.624211+00:00,2012-03-01 06:53:33.185552+00:00,ID4718
6,Turning & Milling - Machine 9,2012-03-01 05:19:55.552852+00:00,2012-03-01 05:19:55.552851+00:00,2012-03-01 05:57:55.552851+00:00,ID4140
5,Turning & Milling - Machine 4,2012-03-01 05:34:47.399885+00:00,2012-03-01 05:34:47.399885+00:00,2012-03-01 11:07:42.515331+00:00,ID4167
6,Turning & Milling - Machine 4,2012-03-01 05:43:03.501369+00:00,2012-03-01 05:43:03.501369+00:00,2012-03-01 06:59:03.501369+00:00,ID4618
5,Turning & Milling - Machine 8,2012-03-01 06:26:42.297843+00:00,2012-03-01 06:26:42.297843+00:00,2012-03-02 00:38:42.297843+00:00,ID4783
5,Turning & Milling - Machine 6,2012-03-01 06:35:40.152868+00:00,2012-03-01 06:35:40.152868+00:00,2012-03-01 07:50:40.152868+00:00,ID0937
7,Turning & Milling - Machine 9,2012-03-01 06:42:44.689036+00:00,2012-03-01 06:42:44.689036+00:00,2012-03-01 08:59:44.689036+00:00,ID4287
7,Turning & Milling - Machine 10,2012-03-01 06:42:44.689036+00:00,2012-03-01 06:42:44.689036+00:00,2012-03-01 07:57:44.689036+00:00,ID4142
7,Turning - Machine 9,2012-03-01 06:42:45.005599+00:00,2012-03-01 07:54:29.367577+00:00,2012-03-01 11:22:59.366578+00:00,ID4932
7,Turning & Milling - Machine 8,2012-03-01 06:51:13.330580+00:00,2012-03-01 06:51:13.330580+00:00,2012-03-01 06:51:13.330580+00:00,ID4445
7,Turning & Milling - Machine 5,2012-03-01 07:09:42.914990+00:00,2012-03-01 07:09:42.914990+00:00,2012-03-01 07:47:42.914990+00:00,ID4355
2,Laser Marking - Machine 7,2012-03-01 07:46:52.031288+00:00,2012-03-01 11:12:00.000000+00:00,2012-03-01 11:43:35.789742+00:00,ID0998
3,Turning & Milling - Machine 9,2012-03-01 07:57:40.836783+00:00,2012-03-01 07:57:40.836783+00:00,2012-03-01 07:57:40.836783+00:00,ID4529
3,Turning & Milling - Machine 9,2012-03-01 07:57:43.053094+00:00,2012-03-01 07:57:43.053094+00:00,2012-03-01 08:52:29.546032+00:00,ID4794
7,Turning & Milling - Machine 10,2012-03-01 07:57:45.412591+00:00,2012-03-01 07:57:45.412591+00:00,2012-03-01 08:01:45.412591+00:00,ID4618
7,Turning & Milling - Machine 10,2012-03-01 08:01:48.980645+00:00,2012-03-01 08:01:48.980644+00:00,2012-03-01 09:16:48.980644+00:00,ID4142
2,Turning Q.C.,2012-03-01 08:51:54.122594+00:00,2012-03-01 08:51:54.122594+00:00,2012-03-01 09:35:23.843817+00:00,ID4493
5,Turning - Machine 9,2012-03-01 08:57:26.447453+00:00,2012-03-01 08:57:26.447454+00:00,2012-03-01 10:24:14.910503+00:00,ID4132
7,Turning & Milling - Machine 9,2012-03-01 08:59:44.689036+00:00,2012-03-01 08:59:44.689036+00:00,2012-03-01 09:00:14.689036+00:00,ID4429
7,Turning & Milling - Machine 9,2012-03-01 09:00:14.689036+00:00,2012-03-01 09:00:14.689036+00:00,2012-03-01 09:38:14.689036+00:00,ID4140
6,Turning & Milling - Machine 6,2012-03-01 09:07:32.735338+00:00,2012-03-01 09:07:32.735338+00:00,2012-03-01 12:12:01.076949+00:00,ID0997
7,Turning & Milling - Machine 10,2012-03-01 09:16:48.980644+00:00,2012-03-01 09:16:48.980645+00:00,2012-03-01 09:20:48.980645+00:00,ID4618
7,Round Grinding - Machine 3,2012-03-01 09:17:45.853018+00:00,2012-03-01 09:17:45.853018+00:00,2012-03-01 11:26:29.221392+00:00,ID4528
8,Turning & Milling - Machine 9,2012-03-01 09:46:05.547706+00:00,2012-03-01 09:46:05.547706+00:00,2012-03-01 11:01:05.547706+00:00,ID0937
8,Turning & Milling - Machine 10,2012-03-01 09:46:05.547706+00:00,2012-03-01 09:46:05.547706+00:00,2012-03-01 11:22:51.857102+00:00,ID4794
8,Round Grinding - Machine 3,2012-03-01 09:46:05.548186+00:00,2012-03-01 09:46:05.548186+00:00,2012-03-01 11:25:30.481830+00:00,ID0420
8,Turning & Milling - Machine 8,2012-03-01 09:55:38.644882+00:00,2012-03-01 09:55:38.644882+00:00,2012-03-01 09:58:58.216022+00:00,ID4219
7,Turning & Milling - Machine 6,2012-03-01 10:00:46.121407+00:00,2012-03-01 10:00:46.121407+00:00,2012-03-01 10:39:18.217843+00:00,ID4718
1,Turn & Mill. & Screw Assem - Machine 9,2012-03-01 10:15:23.261227+00:00,2012-03-01 10:15:23.261227+00:00,2012-03-01 11:03:07.872659+00:00,ID3846
7,Turning & Milling - Machine 4,2012-03-01 10:25:16.527638+00:00,2012-03-01 10:25:16.527638+00:00,2012-03-01 13:53:33.457341+00:00,ID4529
8,Turning & Milling - Machine 6,2012-03-01 10:26:14.226643+00:00,2012-03-01 10:26:14.226643+00:00,2012-03-01 11:14:28.737306+00:00,ID4429
8,Turning & Milling - Machine 5,2012-03-01 10:45:51.496387+00:00,2012-03-01 12:48:00.000000+00:00,2012-03-01 12:48:00.000000+00:00,ID4163
9,SETUP     Turning & Milling - Machine 5,2012-03-01 10:50:00.610600+00:00,2012-03-01 11:22:59.366578+00:00,2012-03-01 12:33:29.366578+00:00,ID4932
8,Turning & Milling - Machine 4,2012-03-01 11:00:18.613097+00:00,2012-03-01 11:00:18.613097+00:00,2012-03-01 12:16:18.613097+00:00,ID4618
5,Round Grinding - Machine 3,2012-03-01 11:03:00.708566+00:00,2012-03-01 11:03:00.708566+00:00,2012-03-01 15:13:22.991668+00:00,ID4445
7,Turning & Milling - Machine 5,2012-03-01 11:09:03.330183+00:00,2012-03-01 11:09:03.330183+00:00,2012-03-01 11:47:03.330183+00:00,ID4355
8,Turning & Milling - Machine 6,2012-03-01 11:21:14.601603+00:00,2012-03-01 11:21:14.601603+00:00,2012-03-01 12:43:55.991867+00:00,ID4718
8,Round Grinding - Machine 3,2012-03-01 11:25:30.482250+00:00,2012-03-01 11:25:30.482251+00:00,2012-03-01 12:07:18.132403+00:00,ID4872
6,Turning & Milling - Machine 5,2012-03-01 11:27:24.307687+00:00,2012-03-01 11:27:24.307687+00:00,2012-03-01 12:42:24.307687+00:00,ID0937
7,Turning - Machine 9,2012-03-01 11:44:45.044285+00:00,2012-03-01 11:44:45.044285+00:00,2012-03-01 14:00:06.503507+00:00,ID4132
6,Fix EDM,2012-03-01 12:09:31.648254+00:00,2012-03-01 15:12:00.000000+00:00,2012-03-01 15:42:02.106423+00:00,ID4861
6,Turning - Machine 9,2012-03-01 12:25:47.313410+00:00,2012-03-01 12:25:47.313410+00:00,2012-03-01 14:06:36.681403+00:00,ID3846
10,Turning & Milling - Machine 9,2012-03-01 12:48:00.162954+00:00,2012-03-01 14:24:00.000000+00:00,2012-03-01 14:53:00.000000+00:00,ID4287
10,Turning - Machine 9,2012-03-01 12:48:00.162954+00:00,2012-03-01 12:48:00.162954+00:00,2012-03-01 16:16:30.161955+00:00,ID4932
10,Turning & Milling - Machine 10,2012-03-01 12:48:00.166450+00:00,2012-03-01 12:48:00.166450+00:00,2012-03-01 14:03:00.166450+00:00,ID4142
10,Turning & Milling - Machine 8,2012-03-01 12:48:00.170434+00:00,2012-03-01 16:00:00.000000+00:00,2012-03-01 17:57:01.633416+00:00,ID4219
8,Laser Marking - Machine 7,2012-03-01 12:48:30.541026+00:00,2012-03-01 12:48:30.541026+00:00,2012-03-01 12:48:57.811594+00:00,ID4882
