case_id,activity,enable_time,start_time,end_time,resource
0,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 07:45:00.000000+00:00,2018-09-21 07:47:01.158864+00:00,batch_00
1,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 07:47:01.158864+00:00,2018-09-21 07:47:02.066051+00:00,batch_00
2,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 07:47:02.066051+00:00,2018-09-21 07:47:53.912679+00:00,batch_00
3,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 07:47:53.912679+00:00,2018-09-21 07:47:58.601349+00:00,batch_00
4,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 07:47:58.601349+00:00,2018-09-21 07:48:12.149175+00:00,batch_00
5,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 07:48:12.149175+00:00,2018-09-21 07:48:12.149311+00:00,batch_00
6,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 07:48:12.149311+00:00,2018-09-21 07:48:16.516917+00:00,batch_00
7,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 07:48:16.516917+00:00,2018-09-21 07:56:16.982431+00:00,batch_00
8,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 07:56:16.982431+00:00,2018-09-21 07:56:25.238214+00:00,batch_00
9,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 07:56:25.238214+00:00,2018-09-21 07:56:36.139334+00:00,batch_00
10,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 07:56:36.139334+00:00,2018-09-21 09:45:39.014755+00:00,batch_00
11,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 09:45:39.014755+00:00,2018-09-21 09:47:16.538946+00:00,batch_00
12,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 09:47:16.538946+00:00,2018-09-21 09:48:05.881281+00:00,batch_00
13,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 09:48:05.881281+00:00,2018-09-21 09:58:15.927095+00:00,batch_00
14,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 09:58:15.927095+00:00,2018-09-21 12:01:53.264783+00:00,batch_00
15,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 12:01:53.264783+00:00,2018-09-21 12:03:30.467374+00:00,batch_00
16,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 12:03:30.467374+00:00,2018-09-21 12:03:48.604462+00:00,batch_00
17,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 12:03:48.604462+00:00,2018-09-21 12:03:58.884003+00:00,batch_00
18,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 12:03:58.884003+00:00,2018-09-21 12:08:16.220181+00:00,batch_00
19,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 12:08:16.220181+00:00,2018-09-21 12:08:17.624210+00:00,batch_00
20,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 12:08:17.624210+00:00,2018-09-21 12:08:17.624937+00:00,batch_00
21,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 12:08:17.624937+00:00,2018-09-21 12:08:21.983451+00:00,batch_00
22,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 12:08:21.983451+00:00,2018-09-21 12:10:50.707690+00:00,batch_00
23,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 12:10:50.707690+00:00,2018-09-21 12:10:52.427887+00:00,batch_00
24,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 12:10:52.427887+00:00,2018-09-21 12:11:49.143874+00:00,batch_00
25,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-21 12:11:49.143874+00:00,2018-09-24 15:01:59.448159+00:00,batch_00
26,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-24 15:01:59.448159+00:00,2018-09-24 15:02:05.317093+00:00,batch_00
27,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-24 15:02:05.317093+00:00,2018-09-24 15:02:05.420372+00:00,batch_00
28,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-24 15:02:05.420372+00:00,2018-09-24 15:03:42.729991+00:00,batch_00
29,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-24 15:03:42.729991+00:00,2018-09-24 15:04:36.907745+00:00,batch_00
30,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-24 15:04:36.907745+00:00,2018-09-24 15:06:52.594268+00:00,batch_00
31,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-24 15:06:52.594268+00:00,2018-09-24 15:07:21.936381+00:00,batch_00
32,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-24 15:07:21.936381+00:00,2018-09-24 15:07:25.102023+00:00,batch_00
33,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-24 15:07:25.102023+00:00,2018-09-25 07:19:26.098460+00:00,batch_00
34,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-25 07:19:26.098460+00:00,2018-09-25 07:19:38.598986+00:00,batch_00
35,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-25 07:19:38.598986+00:00,2018-09-25 07:19:42.529044+00:00,batch_00
36,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-25 07:19:42.529044+00:00,2018-09-25 07:19:44.228964+00:00,batch_00
37,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-25 07:19:44.228964+00:00,2018-09-25 07:20:29.527089+00:00,batch_00
38,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-25 07:20:29.527089+00:00,2018-09-25 07:21:38.640857+00:00,batch_00
39,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-25 07:21:38.640857+00:00,2018-09-25 07:21:38.876759+00:00,batch_00
40,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-25 07:21:38.876759+00:00,2018-09-25 07:21:53.290294+00:00,batch_00
41,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-25 07:21:53.290294+00:00,2018-09-25 07:24:11.478884+00:00,batch_00
42,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-25 07:24:11.478884+00:00,2018-09-25 07:26:00.408164+00:00,batch_00
43,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-25 07:26:00.408164+00:00,2018-09-25 07:26:00.845540+00:00,batch_00
44,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-25 07:26:00.845540+00:00,2018-09-25 07:27:08.508252+00:00,batch_00
45,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-25 07:27:08.508252+00:00,2018-09-25 07:28:34.681681+00:00,batch_00
46,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-25 07:28:34.681681+00:00,2018-09-25 07:28:35.051719+00:00,batch_00
47,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-25 07:28:35.051719+00:00,2018-09-25 07:28:41.740770+00:00,batch_00
48,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-25 07:28:41.740770+00:00,2018-09-25 08:15:10.548858+00:00,batch_00
49,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-25 08:15:10.548858+00:00,2018-09-25 08:18:53.688922+00:00,batch_00
50,SRM: Created,2018-09-20 21:59:00.000000+00:00,2018-09-25 08:18:53.688922+00:00,2018-09-25 08:18:54.264993+00:00,batch_00
