case_id,activity,enable_time,start_time,end_time,resource
32,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:15:00.000000+00:00,2018-09-26 08:15:00.002193+00:00,batch_00
47,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:15:00.002193+00:00,2018-09-26 08:16:53.145164+00:00,batch_00
94,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:16:53.145164+00:00,2018-09-26 08:20:56.434583+00:00,batch_00
56,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:20:56.434583+00:00,2018-09-26 08:24:22.692261+00:00,batch_00
1,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:24:22.692261+00:00,2018-09-26 08:24:22.692498+00:00,batch_00
45,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:24:22.692498+00:00,2018-09-26 08:24:31.774569+00:00,batch_00
128,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:24:31.774569+00:00,2018-09-26 08:24:35.653844+00:00,batch_00
24,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:24:35.653844+00:00,2018-09-26 08:26:41.402013+00:00,batch_00
113,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:26:41.402013+00:00,2018-09-26 08:26:43.957886+00:00,batch_00
95,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:26:43.957886+00:00,2018-09-26 08:26:47.697372+00:00,batch_00
157,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:26:47.697372+00:00,2018-09-26 08:26:47.750343+00:00,batch_00
31,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:26:47.750343+00:00,2018-09-26 08:26:52.158177+00:00,batch_00
86,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:26:52.158177+00:00,2018-09-26 08:27:16.458995+00:00,batch_00
49,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:27:16.458995+00:00,2018-09-26 08:27:16.458995+00:00,batch_00
4,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:27:16.458995+00:00,2018-09-26 08:27:56.067716+00:00,batch_00
85,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:27:56.067716+00:00,2018-09-26 08:27:56.071408+00:00,batch_00
21,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:27:56.071408+00:00,2018-09-26 08:27:56.075577+00:00,batch_00
136,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:27:56.075577+00:00,2018-09-26 08:27:56.075795+00:00,batch_00
70,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:27:56.075795+00:00,2018-09-26 08:31:09.699574+00:00,batch_00
37,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:31:09.699574+00:00,2018-09-26 08:31:09.822987+00:00,batch_00
103,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:31:09.822987+00:00,2018-09-26 08:31:09.822989+00:00,batch_00
22,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:31:09.822989+00:00,2018-09-26 08:31:09.862149+00:00,batch_00
111,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:31:09.862149+00:00,2018-09-26 08:31:09.934217+00:00,batch_00
174,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:31:09.934217+00:00,2018-09-26 08:34:21.325003+00:00,batch_00
108,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:34:21.325003+00:00,2018-09-26 08:34:21.361785+00:00,batch_00
153,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:34:21.361785+00:00,2018-09-26 08:35:09.345289+00:00,batch_00
149,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:35:09.345289+00:00,2018-09-26 08:35:09.345676+00:00,batch_00
59,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:35:09.345676+00:00,2018-09-26 08:35:09.418917+00:00,batch_00
104,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:35:09.418917+00:00,2018-09-26 08:35:09.418917+00:00,batch_00
71,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:35:09.418917+00:00,2018-09-26 08:35:09.651057+00:00,batch_00
28,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:35:09.651057+00:00,2018-09-26 08:36:40.547501+00:00,batch_00
97,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:36:40.547501+00:00,2018-09-26 08:36:40.602241+00:00,batch_00
137,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:36:40.602241+00:00,2018-09-26 08:38:39.232618+00:00,batch_00
12,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:38:39.232618+00:00,2018-09-26 08:39:03.335237+00:00,batch_00
168,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:39:03.335237+00:00,2018-09-26 08:39:06.751166+00:00,batch_00
9,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:39:06.751166+00:00,2018-09-26 08:39:06.756592+00:00,batch_00
164,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:39:06.756592+00:00,2018-09-26 08:42:11.527050+00:00,batch_00
35,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:11.527050+00:00,2018-09-26 08:42:11.564905+00:00,batch_00
83,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:11.564905+00:00,2018-09-26 08:42:11.566309+00:00,batch_00
120,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:11.566309+00:00,2018-09-26 08:42:11.943493+00:00,batch_00
154,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:11.943493+00:00,2018-09-26 08:42:11.965451+00:00,batch_00
51,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:11.965451+00:00,2018-09-26 08:42:14.817498+00:00,batch_00
90,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:14.817498+00:00,2018-09-26 08:42:14.817580+00:00,batch_00
102,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:14.817580+00:00,2018-09-26 08:42:15.314798+00:00,batch_00
118,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:15.314798+00:00,2018-09-26 08:42:18.833752+00:00,batch_00
126,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:18.833752+00:00,2018-09-26 08:42:18.834321+00:00,batch_00
20,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:42:18.834321+00:00,2018-09-26 08:48:45.593891+00:00,batch_00
155,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:48:45.593891+00:00,2018-09-26 08:48:58.651058+00:00,batch_00
75,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:48:58.651058+00:00,2018-09-26 08:48:58.747309+00:00,batch_00
65,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:48:58.747309+00:00,2018-09-26 08:48:58.747309+00:00,batch_00
133,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:48:58.747309+00:00,2018-09-26 08:48:58.747309+00:00,batch_00
8,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:48:58.747309+00:00,2018-09-26 08:49:09.959568+00:00,batch_00
58,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:49:09.959568+00:00,2018-09-26 08:49:24.320296+00:00,batch_00
84,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:49:24.320296+00:00,2018-09-26 08:49:24.476474+00:00,batch_00
80,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:49:24.476474+00:00,2018-09-26 08:49:24.483165+00:00,batch_00
67,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:49:24.483165+00:00,2018-09-26 08:49:24.483165+00:00,batch_00
100,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:49:24.483165+00:00,2018-09-26 08:51:31.898789+00:00,batch_00
43,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:51:31.898789+00:00,2018-09-26 08:51:43.256484+00:00,batch_00
140,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:51:43.256484+00:00,2018-09-26 08:51:43.319187+00:00,batch_00
60,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 08:51:43.319187+00:00,2018-09-26 09:48:17.872260+00:00,batch_00
78,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_010
176,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:46:34.519554+00:00,user_014
55,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_016
15,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_022
99,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_026
62,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_010
42,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_016
112,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_022
69,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_026
158,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_010
39,SRM: Created,2018-09-26 08:07:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_016
171,SRM: Created,2018-09-26 08:07:00.000007+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_022
26,SRM: Created,2018-09-26 08:07:00.000007+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_026
121,SRM: Created,2018-09-26 08:07:00.000008+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_010
92,SRM: Created,2018-09-26 08:07:00.000010+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_016
139,SRM: Created,2018-09-26 08:07:00.000010+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_022
41,SRM: Created,2018-09-26 08:07:00.000020+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_026
163,SRM: Created,2018-09-26 08:07:00.000065+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_010
50,SRM: Created,2018-09-26 08:07:00.000122+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_016
46,SRM: Created,2018-09-26 08:07:00.000137+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_022
167,SRM: Created,2018-09-26 08:07:00.000153+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_026
135,SRM: Created,2018-09-26 08:07:00.000178+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_010
109,SRM: Created,2018-09-26 08:07:00.000225+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_016
63,SRM: Created,2018-09-26 08:07:00.000314+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_022
110,SRM: Created,2018-09-26 08:07:00.000350+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_026
0,SRM: Created,2018-09-26 08:07:00.000353+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_010
160,SRM: Created,2018-09-26 08:07:00.000420+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_016
73,SRM: Created,2018-09-26 08:07:00.000564+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_022
166,SRM: Created,2018-09-26 08:07:00.001328+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_026
173,SRM: Created,2018-09-26 08:07:00.002694+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_010
122,SRM: Created,2018-09-26 08:07:00.003295+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_016
147,SRM: Created,2018-09-26 08:07:00.003626+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_022
7,SRM: Created,2018-09-26 08:07:00.004500+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_026
16,SRM: Created,2018-09-26 08:07:00.016654+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_010
66,SRM: Created,2018-09-26 08:07:00.016816+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_016
161,SRM: Created,2018-09-26 08:07:00.017956+00:00,2018-09-26 09:45:00.000000+00:00,2018-09-26 09:45:00.000000+00:00,user_022
