case_id,activity,enable_time,start_time,end_time,resource
0,Turn & Mill. & Screw Assem - Machine 10,2012-02-27 16:58:55.283095+00:00,2012-02-27 17:36:00.000000+00:00,2012-02-27 17:42:04.635613+00:00,Machine 10 - Grinding
0,Round Grinding - Manual,2012-02-27 17:19:07.234353+00:00,2012-02-27 17:19:07.234353+00:00,2012-02-27 17:25:11.013501+00:00,Machine 27 - Grinding
0,Packing,2012-02-27 23:57:43.189748+00:00,2012-02-28 00:00:00.000000+00:00,2012-02-29 00:00:00.000000+00:00,Packing
1,Turning & Milling - Machine 6,2012-02-28 01:12:13.572644+00:00,2012-02-28 06:24:00.000000+00:00,2012-02-28 06:25:09.578211+00:00,Machine 6 - Turning & Milling
1,Round Grinding - Manual,2012-02-28 04:59:01.373461+00:00,2012-02-28 16:00:00.000000+00:00,2012-02-28 16:15:17.121332+00:00,Machine 27 - Grinding
1,Turning & Milling - Machine 6,2012-02-28 06:27:33.864542+00:00,2012-02-28 06:27:33.864542+00:00,2012-02-28 06:40:26.103581+00:00,Machine 6 - Turning & Milling
1,Turning & Milling - Machine 6,2012-02-28 06:40:26.103581+00:00,2012-02-28 06:40:26.103581+00:00,2012-02-28 20:07:11.130405+00:00,Machine 6 - Turning & Milling
1,Turn & Mill. & Screw Assem - Machine 10,2012-02-28 08:13:29.240179+00:00,2012-02-28 15:12:00.000000+00:00,2012-02-28 15:28:00.125377+00:00,Machine 10 - Grinding
2,Lapping - Machine 1,2012-02-28 08:51:38.737811+00:00,2012-02-28 08:51:38.737811+00:00,2012-02-28 12:20:50.596357+00:00,Machine 1 - Lapping
2,Lapping - Machine 1,2012-02-28 12:41:21.076876+00:00,2012-02-28 12:41:21.076876+00:00,2012-02-28 13:29:53.619093+00:00,Machine 1 - Lapping
2,Round Grinding - Machine 3,2012-02-28 13:29:53.619093+00:00,2012-02-28 16:00:00.000000+00:00,2012-02-28 16:06:41.818777+00:00,Machine 3 - Round Grinding
2,Turning & Milling Q.C.,2012-02-28 15:11:23.429516+00:00,2012-02-28 15:11:23.429515+00:00,2012-02-28 15:13:30.367342+00:00,Quality Check 1
2,Wire Cut - Machine 13,2012-02-28 15:47:47.714176+00:00,2012-02-28 16:48:00.000000+00:00,2012-02-28 16:52:35.660548+00:00,Wire Cut - Machine 13
2,Round Grinding - Machine 2,2012-02-28 18:07:08.543746+00:00,2012-02-28 18:07:08.543745+00:00,2012-02-28 18:07:13.884250+00:00,Machine 2 - Round Grinding
2,Round Grinding - Machine 2,2012-02-28 19:38:24.084091+00:00,2012-02-28 19:38:24.084091+00:00,2012-02-28 19:40:03.618526+00:00,Machine 2 - Round Grinding
2,Round Grinding - Machine 2,2012-02-28 19:39:16.898533+00:00,2012-02-28 19:40:03.618526+00:00,2012-02-28 19:40:08.715116+00:00,Machine 2 - Round Grinding
2,Round Grinding - Machine 2,2012-02-28 19:42:47.531748+00:00,2012-02-28 19:42:47.531748+00:00,2012-02-28 19:43:18.787124+00:00,Machine 2 - Round Grinding
1,Turning & Milling - Machine 6,2012-02-28 20:45:25.981002+00:00,2012-02-28 20:45:25.981001+00:00,2012-02-28 20:46:39.283897+00:00,Machine 6 - Turning & Milling
