case_id,activity,enable_time,start_time,end_time,resource
0,SRM: Created,2018-10-16 08:10:00.000090+00:00,2018-10-16 10:40:00.000000+00:00,2018-10-16 10:48:12.292482+00:00,user_010
1,SRM: Created,2018-10-16 09:52:20.380828+00:00,2018-10-16 10:40:00.000000+00:00,2018-10-16 10:40:09.125965+00:00,user_014
2,SRM: Created,2018-10-16 09:52:42.285370+00:00,2018-10-16 10:40:00.000000+00:00,2018-10-16 10:40:08.191564+00:00,user_016
2,SRM: Created,2018-10-16 10:40:08.191564+00:00,2018-10-16 10:40:08.191564+00:00,2018-10-16 10:40:08.191564+00:00,user_022
2,SRM: Document Completed,2018-10-16 11:26:11.705176+00:00,2018-10-16 11:26:11.705176+00:00,2018-10-16 11:32:11.705176+00:00,user_009
1,SRM: Document Completed,2018-10-16 11:27:33.068315+00:00,2018-10-16 11:27:33.068315+00:00,2018-10-16 11:36:44.080047+00:00,user_026
2,SRM: Ordered,2018-10-16 11:38:03.666433+00:00,2018-10-17 10:00:00.000000+00:00,2018-10-17 10:00:00.039704+00:00,batch_00
0,SRM: Ordered,2018-10-16 11:58:19.403261+00:00,2018-10-17 10:00:00.039704+00:00,2018-10-17 10:00:09.998214+00:00,batch_00
1,SRM: In Transfer to Execution Syst.,2018-10-16 12:19:04.802682+00:00,2018-10-16 16:00:00.000000+00:00,2018-10-16 16:12:00.000000+00:00,user_022
2,SRM: Document Completed,2018-10-16 12:50:07.801847+00:00,2018-10-16 16:00:00.000000+00:00,2018-10-16 16:00:11.300568+00:00,user_016
1,SRM: Document Completed,2018-10-16 13:03:52.823141+00:00,2018-10-16 16:00:00.000000+00:00,2018-10-16 16:05:19.751389+00:00,user_014
0,SRM: Document Completed,2018-10-16 13:44:02.982866+00:00,2018-10-16 16:00:00.000000+00:00,2018-10-16 16:00:00.000000+00:00,user_010
2,SRM: Document Completed,2018-10-16 17:21:07.657942+00:00,2018-10-16 17:21:07.657942+00:00,2018-10-16 17:27:07.657942+00:00,user_009
0,SRM: Document Completed,2018-10-16 18:02:09.337653+00:00,2018-10-16 18:02:09.337653+00:00,2018-10-16 18:11:31.030052+00:00,user_026
1,SRM: Document Completed,2018-10-16 18:11:20.383323+00:00,2018-10-16 18:11:20.383322+00:00,2018-10-16 18:11:20.383322+00:00,user_010
