case_id,activity,enable_time,start_time,end_time,resource
0,Turning & Milling Q.C.,2012-03-15 03:36:56.648586+00:00,2012-03-15 07:00:00.000000+00:00,2012-03-15 09:42:30.793384+00:00,Quality Check 1
1,Turning - Machine 8,2012-03-15 10:41:23.050298+00:00,2012-03-15 10:41:23.050298+00:00,2012-03-15 10:43:36.228724+00:00,Machine 8 - Turning & Milling
1,Turning & Milling - Machine 9,2012-03-15 12:15:57.811861+00:00,2012-03-15 12:15:57.811860+00:00,2012-03-15 12:26:22.340595+00:00,Machine 9 - Turning & Milling
1,Turning - Machine 8,2012-03-15 12:28:38.460592+00:00,2012-03-15 13:30:00.000000+00:00,2012-03-15 13:30:11.596587+00:00,Machine 15 - Turning
2,Turning & Milling - Machine 6,2012-03-15 13:20:41.581863+00:00,2012-03-15 13:20:41.581863+00:00,2012-03-15 14:38:49.218684+00:00,Machine 6 - Turning & Milling
0,Laser Marking - Machine 7,2012-03-15 13:26:53.423545+00:00,2012-03-16 12:00:00.000000+00:00,2012-03-16 12:10:44.231850+00:00,Machine 7- Laser Marking
3,Turning & Milling - Machine 6,2012-03-15 14:02:09.251756+00:00,2012-03-15 14:38:49.218684+00:00,2012-03-16 00:40:08.768475+00:00,Machine 6 - Turning & Milling
2,Turning & Milling - Machine 5,2012-03-15 14:18:50.289223+00:00,2012-03-15 14:18:50.289223+00:00,2012-03-15 14:59:58.384959+00:00,Machine 5 - Turning & Milling
2,Turning & Milling - Machine 5,2012-03-15 14:59:58.387855+00:00,2012-03-15 14:59:58.387854+00:00,2012-03-15 16:05:07.707309+00:00,Machine 5 - Turning & Milling
2,Turning & Milling - Machine 6,2012-03-15 15:24:43.232181+00:00,2012-03-16 00:40:08.768475+00:00,2012-03-16 04:10:18.213790+00:00,Machine 6 - Turning & Milling
3,Turning & Milling - Machine 5,2012-03-15 15:56:02.717398+00:00,2012-03-15 16:05:07.707309+00:00,2012-03-15 16:25:50.616665+00:00,Machine 5 - Turning & Milling
2,Turning & Milling - Machine 5,2012-03-15 16:05:07.772935+00:00,2012-03-15 16:25:50.616665+00:00,2012-03-18 16:44:49.645018+00:00,Machine 5 - Turning & Milling
3,Turning & Milling - Machine 5,2012-03-15 16:26:03.746274+00:00,2012-03-18 16:44:49.645018+00:00,2012-03-18 18:51:17.759717+00:00,Machine 5 - Turning & Milling
1,Milling - Machine 14,2012-03-15 17:30:01.423823+00:00,2012-03-16 06:30:00.000000+00:00,2012-03-16 06:51:49.203031+00:00,Machine 14 - Milling
3,Turning & Milling - Machine 6,2012-03-16 04:46:40.069471+00:00,2012-03-16 04:46:40.069471+00:00,2012-03-18 21:56:54.531283+00:00,Machine 6 - Turning & Milling
2,Turning & Milling - Machine 6,2012-03-16 06:32:24.583117+00:00,2012-03-18 21:56:54.531283+00:00,2012-03-19 09:26:26.106034+00:00,Machine 6 - Turning & Milling
0,Turning & Milling - Machine 9,2012-03-16 07:12:02.270963+00:00,2012-03-16 07:12:02.270963+00:00,2012-03-18 04:22:08.675288+00:00,Machine 9 - Turning & Milling
4,Turning & Milling Q.C.,2012-03-16 08:15:31.580886+00:00,2012-03-16 08:15:31.580886+00:00,2012-03-16 12:56:49.336572+00:00,Quality Check 1
1,Milling - Machine 14,2012-03-16 08:34:17.324663+00:00,2012-03-19 14:30:00.000000+00:00,2012-03-19 14:38:23.597063+00:00,Machine 14 - Milling
0,Flat Grinding - Machine 11,2012-03-16 14:31:56.869819+00:00,2012-03-18 00:00:00.000000+00:00,2012-03-18 00:01:43.776022+00:00,Machine 11 - Grinding
4,Turning & Milling - Machine 9,2012-03-16 20:03:33.166466+00:00,2012-03-18 04:22:08.675288+00:00,2012-03-18 04:55:16.188519+00:00,Machine 9 - Turning & Milling
1,Turning - Machine 8,2012-03-16 20:31:10.708961+00:00,2012-03-18 09:30:00.000000+00:00,2012-03-18 09:30:51.525714+00:00,Machine 8 - Turning & Milling
0,Round Grinding - Machine 23,2012-03-17 11:35:13.673806+00:00,2012-03-18 21:30:00.000000+00:00,2012-03-19 17:19:42.914310+00:00,Machine 23 - Turning
4,Milling - Machine 14,2012-03-18 05:34:13.679108+00:00,2012-03-19 14:38:23.597063+00:00,2012-03-19 20:39:08.820242+00:00,Machine 14 - Milling
0,Turning & Milling - Machine 9,2012-03-18 08:26:50.117503+00:00,2012-03-18 08:26:50.117503+00:00,2012-03-18 09:53:51.484817+00:00,Machine 9 - Turning & Milling
1,Turning - Machine 8,2012-03-18 09:48:50.316715+00:00,2012-03-20 02:00:00.000000+00:00,2012-03-20 02:01:59.616680+00:00,Machine 15 - Turning
0,Flat Grinding - Machine 11,2012-03-18 11:17:50.140669+00:00,2012-03-18 11:30:00.000000+00:00,2012-03-18 11:33:24.058942+00:00,Machine 11 - Grinding
0,Lapping - Machine 1,2012-03-18 11:33:24.140924+00:00,2012-03-18 11:33:24.140924+00:00,2012-03-18 12:29:22.067076+00:00,Machine 1 - Lapping
0,Lapping - Machine 1,2012-03-18 15:38:08.967979+00:00,2012-03-18 15:38:08.967979+00:00,2012-03-18 16:55:50.908757+00:00,Machine 1 - Lapping
5,Turning & Milling Q.C.,2012-03-18 16:23:01.907038+00:00,2012-03-18 16:23:01.907038+00:00,2012-03-19 07:25:34.599990+00:00,Quality Check 1
2,Turning & Milling - Machine 5,2012-03-18 16:44:49.884289+00:00,2012-03-18 18:51:17.759717+00:00,2012-03-18 20:26:35.642375+00:00,Machine 5 - Turning & Milling
0,Round Grinding - Machine 2,2012-03-18 16:55:50.908770+00:00,2012-03-18 16:55:50.908770+00:00,2012-03-19 10:18:18.679131+00:00,Machine 2 - Round Grinding
0,Round Grinding - Machine 3,2012-03-18 16:55:50.908941+00:00,2012-03-18 23:30:00.000000+00:00,2012-03-19 00:07:16.440672+00:00,Machine 3 - Round Grinding
3,Turning & Milling - Machine 5,2012-03-19 00:25:00.853354+00:00,2012-03-19 07:00:00.000000+00:00,2012-03-19 07:13:23.825802+00:00,Machine 5 - Turning & Milling
0,Round Grinding - Machine 3,2012-03-19 01:52:48.378368+00:00,2012-03-19 01:52:48.378368+00:00,2012-03-19 05:46:43.769029+00:00,Machine 3 - Round Grinding
2,Turning & Milling Q.C.,2012-03-19 03:47:32.615006+00:00,2012-03-19 07:25:34.599990+00:00,2012-03-19 07:47:08.000430+00:00,Quality Check 1
4,Laser Marking - Machine 7,2012-03-19 04:18:57.958130+00:00,2012-03-19 08:00:00.000000+00:00,2012-03-19 08:02:13.579202+00:00,Machine 7- Laser Marking
0,Round Grinding - Machine 2,2012-03-19 10:18:34.025106+00:00,2012-03-19 10:18:34.025106+00:00,2012-03-19 10:35:24.945827+00:00,Machine 2 - Round Grinding
6,Turning & Milling - Machine 5,2012-03-19 12:58:56.917917+00:00,2012-03-19 12:58:56.917917+00:00,2012-03-19 14:36:46.897995+00:00,Machine 5 - Turning & Milling
2,Turning & Milling - Machine 6,2012-03-19 13:38:55.459603+00:00,2012-03-19 13:38:55.459603+00:00,2012-03-19 17:03:23.461750+00:00,Machine 6 - Turning & Milling
5,Turning & Milling - Machine 4,2012-03-19 14:05:23.470040+00:00,2012-03-19 14:05:23.470040+00:00,2012-03-19 15:17:08.984087+00:00,Machine 4 - Turning & Milling
6,Turning & Milling - Machine 6,2012-03-19 14:31:59.929103+00:00,2012-03-19 17:03:23.461750+00:00,2012-03-19 17:04:27.692769+00:00,Machine 6 - Turning & Milling
6,Turning & Milling - Machine 5,2012-03-19 14:39:26.431319+00:00,2012-03-19 14:39:26.431319+00:00,2012-03-19 19:23:31.396130+00:00,Machine 5 - Turning & Milling
5,Turning & Milling - Machine 4,2012-03-19 15:17:09.001299+00:00,2012-03-19 15:17:09.001299+00:00,2012-03-20 08:38:19.553934+00:00,Machine 4 - Turning & Milling
7,Turning & Milling - Machine 6,2012-03-19 16:32:43.120969+00:00,2012-03-19 17:04:27.692769+00:00,2012-03-20 04:42:42.935603+00:00,Machine 6 - Turning & Milling
1,Milling - Machine 14,2012-03-19 17:36:16.003740+00:00,2012-03-19 20:39:08.820242+00:00,2012-03-19 20:57:39.008782+00:00,Machine 14 - Milling
2,Turning & Milling - Machine 6,2012-03-19 17:37:31.315108+00:00,2012-03-20 04:42:42.935603+00:00,2012-03-20 07:45:04.067158+00:00,Machine 6 - Turning & Milling
6,Turning & Milling - Machine 5,2012-03-19 19:23:31.396137+00:00,2012-03-19 19:23:31.396137+00:00,2012-03-20 12:46:59.075066+00:00,Machine 5 - Turning & Milling
1,Milling - Machine 14,2012-03-19 22:43:08.431964+00:00,2012-03-20 06:00:00.000000+00:00,2012-03-20 07:58:38.562160+00:00,Machine 14 - Milling
0,Packing,2012-03-19 23:23:59.106625+00:00,2012-03-20 00:00:00.000000+00:00,2012-03-20 01:00:00.000000+00:00,Packing
4,Milling - Machine 14,2012-03-20 00:18:09.415785+00:00,2012-03-20 07:58:38.562160+00:00,2012-03-20 07:59:42.050448+00:00,Machine 14 - Milling
6,Turning & Milling - Machine 6,2012-03-20 02:18:34.347966+00:00,2012-03-20 07:45:04.067158+00:00,2012-03-20 08:30:17.240516+00:00,Machine 6 - Turning & Milling
3,Turning & Milling - Machine 6,2012-03-20 04:12:47.786097+00:00,2012-03-20 08:30:17.240516+00:00,2012-03-20 11:35:26.834590+00:00,Machine 6 - Turning & Milling
1,Turning - Machine 8,2012-03-20 05:24:28.409353+00:00,2012-03-20 05:24:28.409353+00:00,2012-03-20 05:24:54.152956+00:00,Machine 8 - Turning & Milling
1,Turning - Machine 8,2012-03-20 06:25:40.121212+00:00,2012-03-20 06:25:40.121212+00:00,2012-03-21 10:48:55.418490+00:00,Machine 15 - Turning
8,Turning & Milling - Machine 5,2012-03-20 07:15:02.073446+00:00,2012-03-20 12:46:59.075066+00:00,2012-03-20 12:54:02.834306+00:00,Machine 5 - Turning & Milling
7,Turning & Milling - Machine 6,2012-03-20 08:13:09.117881+00:00,2012-03-20 11:35:26.834590+00:00,2012-03-20 13:14:21.506115+00:00,Machine 6 - Turning & Milling
5,Turning & Milling - Machine 4,2012-03-20 08:38:19.606573+00:00,2012-03-20 08:38:19.606573+00:00,2012-03-20 09:34:51.634422+00:00,Machine 4 - Turning & Milling
1,Milling - Machine 14,2012-03-20 08:47:47.954699+00:00,2012-03-20 08:47:47.954699+00:00,2012-03-20 08:55:10.854786+00:00,Machine 14 - Milling
4,Milling - Machine 14,2012-03-20 08:52:19.289547+00:00,2012-03-20 08:55:10.854786+00:00,2012-03-20 11:06:27.464692+00:00,Machine 14 - Milling
8,Turning & Milling - Machine 6,2012-03-20 09:22:42.916020+00:00,2012-03-20 13:14:21.506115+00:00,2012-03-20 17:42:14.535331+00:00,Machine 6 - Turning & Milling
5,Turning & Milling - Machine 4,2012-03-20 09:34:57.420002+00:00,2012-03-20 09:34:57.420002+00:00,2012-03-20 12:44:18.746207+00:00,Machine 4 - Turning & Milling
6,Turning & Milling - Machine 6,2012-03-20 09:36:27.902341+00:00,2012-03-20 17:42:14.535331+00:00,2012-03-20 18:52:40.352440+00:00,Machine 6 - Turning & Milling
3,Turning & Milling Q.C.,2012-03-20 09:39:30.711896+00:00,2012-03-20 09:39:30.711896+00:00,2012-03-20 13:06:25.891596+00:00,Quality Check 1
1,Milling - Machine 14,2012-03-20 11:04:52.193911+00:00,2012-03-20 11:06:27.464692+00:00,2012-03-20 11:16:44.670830+00:00,Machine 14 - Milling
6,Turning & Milling - Machine 5,2012-03-20 12:46:59.649486+00:00,2012-03-20 12:54:02.834306+00:00,2012-03-20 18:56:38.754646+00:00,Machine 5 - Turning & Milling
8,Turning & Milling - Machine 5,2012-03-20 13:05:30.135258+00:00,2012-03-20 18:56:38.754646+00:00,2012-03-20 19:39:15.398883+00:00,Machine 5 - Turning & Milling
3,Turning & Milling - Machine 4,2012-03-20 13:06:31.896689+00:00,2012-03-20 13:06:31.896689+00:00,2012-03-20 13:08:25.076400+00:00,Machine 4 - Turning & Milling
